"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","249","2.900","13.3","19.7","26.5","18.1","21.3","0.8","0.4",".",".",".",".",".",".",".",".","."
"132","002","","300","2.990","18.3","23.0","21.3","19.0","15.3","2.0","0.7",".",".",".",".",".","0.3",".",".","."
"132","003","","143","2.968","16.8","21.7","23.8","18.2","15.4","2.1","0.7","0.7",".",".",".",".",".","0.7",".","."
"Nutrition Today","Course Total","","692","2.953","16.2","21.5","23.7","18.5","17.5","1.6","0.6","0.1",".",".",".",".","0.1","0.1",".","."
"200
Prof-Dietetics & Nutrition","001","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"203
Introduction to Global Health","001","","339","3.905","85.5","10.9","2.4","0.3","0.6",".",".",".",".",".",".",".","0.3",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","91","3.005","31.9","11.0","17.6","16.5","18.7","3.3","1.1",".",".",".",".",".",".",".",".","."
"375","001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","30","3.968","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"421
Global Health Field Experience","001","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Undergrad Capstone Seminar Lab","001","","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","32","3.313","37.5","12.5","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Nutrition, Fitness and Health","001","","7","2.929","14.3","42.9","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Adv Nutrition: Minerals","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Clinical Nutrition I","001","","42","3.573","35.7","40.5","21.4",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"645
Mol Ctrl of Mtblsm & Mtblc Dis","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"650
Adv Clin Nutr: Crit Care Nutr","001","","29","3.569","37.9","44.8","10.3","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"670
Nutr & Dietetics Practicum I","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Human Energy Metabolism","001","","25","3.740","64.0","20.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
