"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","431","3.231","34.3","15.1","27.4","10.7","11.1","1.2",".","0.2",".",".",".",".",".",".",".","."
"","102
001","39","3.423","33.3","17.9","48.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","39","3.513","38.5","25.6","35.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","38","3.355","28.9","21.1","44.7","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","102
004","37","3.554","48.6","18.9","29.7",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","153","3.461","37.3","20.9","39.9","0.7","1.3",".",".",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
059","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","255","3.082","23.9","21.2","29.4","9.4","11.4","3.9","0.8",".",".",".",".",".",".",".",".","."
"","304
001","39","3.368","35.9","23.1","25.6","7.7","2.6","2.6",".",".",".",".",".",".","2.6",".",".","."
"","304
002","32","3.328","40.6","18.8","25.0","9.4","3.1",".","3.1",".",".",".",".",".",".",".",".","."
"","304
003","35","3.371","31.4","22.9","34.3","11.4",".",".",".",".",".",".",".",".",".",".",".","."
"","304
004","38","3.408","34.2","21.1","39.5","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","144","3.371","35.4","21.5","31.3","7.6","2.1","0.7","0.7",".",".",".",".",".","0.7",".",".","."
"","305
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","16","3.813","87.5",".","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","46","3.924","93.5","2.2","2.2",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"","324
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","324
004","7","2.929",".","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","10","2.900","10.0","30.0","30.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Food Microbiology","325
001","36","3.069","22.2","13.9","38.9","11.1","11.1","2.8",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
003","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microrg","450
001","54","3.269","42.6","13.0","25.9","3.7","9.3","5.6",".",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","35","3.286","31.4","22.9","28.6","5.7","11.4",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","65","3.200","41.5","13.8","18.5","4.6","16.9","4.6",".",".",".",".",".",".",".",".",".","."
"Adv Lab Techniques - Microbio","527
001","59","3.288","32.2","20.3","35.6","3.4","6.8",".","1.7",".",".",".",".",".",".",".",".","."
"Immunology","528
001","49","3.010","38.8","8.2","22.4","6.1","14.3","6.1","4.1",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","23","3.391","30.4","34.8","26.1",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"Gen Virology-Multiplication","640
001","29","3.345","34.5","13.8","44.8",".","6.9",".",".",".",".",".",".",".",".",".",".","."
"Biology and Genetics of Fungi","655
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 10 of 438"
