"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"MUSIC-PERFORMANCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"Advanced Guitar","440","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Year Composition","447","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","457","050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","457","096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Composition&Arranging","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Jazz Composition&Arranging","458","096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Oboe","49","059","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Recital","499","047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters Level-Piano","501","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","505","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","505","045","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","505","061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","505","062","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters Level-Voice","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Masters Level-Flute","507","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Clarinet","51","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters Level-Euphonium","523","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters Level-Tuba","525","035","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters Level-Percussion","527","033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters Level-Violin","531","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","022","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","038","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Conducting","","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Masters Level-Viola","533","073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","535","026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","535","071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters Level-Cello","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Advanced Accompanying","542","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters Level Composition","547","046","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Trombone","61","089","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Flute","7","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701","029","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701","096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Doctoral Level-Piano","","Course Total","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Doctoral Level-Organ","703","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","705","045","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","705","061","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","705","062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Doctoral Level-Voice","","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Doctoral Level-Oboe","709","059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 297 of 438",""
