"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","101
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Chem I Laboratory","Course Total","2","***","","","","","","","","","","","","","","","",""
"","103
001","414","2.925","24.6","13.5","25.4","11.6","17.1","7.2","0.5",".",".",".",".",".",".",".",".","."
"","103
002","419","2.911","24.8","13.1","25.3","12.9","14.3","9.1","0.5",".",".",".",".",".",".",".",".","."
"","103
003","340","2.975","26.5","13.2","25.9","11.8","15.9","5.6","0.9",".","0.3",".",".",".",".",".",".","."
"","103
004","363","2.928","25.3","13.2","25.3","11.6","17.4","5.5","1.7",".",".",".",".",".",".",".",".","."
"","103
005","340","2.985","25.0","15.0","25.9","14.4","14.1","4.1","1.5",".",".",".",".",".",".",".",".","."
"","103
006","417","2.946","26.4","12.7","23.7","13.4","16.8","5.5","1.2",".",".",".",".",".",".",".",".","0.2"
"General Chemistry I","Course Total","2293","2.943","25.4","13.4","25.2","12.6","16.0","6.3","1.0",".","0.0",".",".",".",".",".",".","0.0"
"","104
001","234","2.948","25.6","12.0","29.9","8.5","15.8","6.4","1.3",".",".",".",".",".",".",".",".","0.4"
"","104
002","246","2.929","24.0","11.4","27.6","11.0","22.4","2.0","1.6",".",".",".",".",".",".",".",".","."
"General Chemistry II","Course Total","480","2.938","24.8","11.7","28.8","9.8","19.2","4.2","1.5",".",".",".",".",".",".",".",".","0.2"
"","109
001","324","3.136","29.0","21.0","21.9","13.6","10.2","4.0","0.3",".",".",".",".",".",".",".",".","."
"","109
002","333","3.162","29.4","19.5","24.9","12.9","10.5","2.1","0.6",".",".",".",".",".",".",".",".","."
"","109
003","51","3.510","37.3","33.3","21.6","3.9","2.0",".",".",".",".",".",".",".",".",".",".","2.0"
"Advanced General Chemistry","Course Total","708","3.175","29.8","21.2","23.3","12.6","9.7","2.8","0.4",".",".",".",".",".",".",".",".","0.1"
"Chemical Principles I","115
001","29","3.655","58.6","17.2","20.7","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
036","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
058","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
059","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","17","3.839","88.2",".","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Chem Across the Periodic Table","311
001","40","2.949","25.0","12.5","22.5","12.5","22.5",".","2.5",".",".",".",".",".","2.5",".",".","."
"Fundamentals of Analytical Sci","327
001","92","3.060","34.8","14.1","21.7","13.0","7.6","4.3","4.3",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","329
001","95","3.263","24.2","38.9","13.7","13.7","8.4","1.1",".",".",".",".",".",".",".",".",".","."
"Elementary Organic Chemistry","341
001","163","2.763","23.9","4.3","25.8","6.7","31.9","2.5","3.1","0.6",".",".",".",".","0.6",".",".","0.6"
"","342
001","15","3.367","26.7","33.3","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","342
002","8","3.286","25.0","12.5","37.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"","342
003","12","3.375","33.3","33.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Elementary Organic Chem Lab","Course Total","35","3.353","28.6","28.6","25.7","11.4","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"","343
001","366","2.768","23.2","6.0","27.6","5.7","30.1","4.9","2.2",".",".",".",".",".","0.3",".",".","."
"","343
002","260","2.817","23.5","11.5","24.2","8.1","24.2","5.0","3.1",".",".",".",".",".",".",".",".","0.4"
"","343
003","228","2.700","19.7","7.5","29.4","7.9","26.3","4.4","4.8",".",".",".",".",".",".",".",".","."
"","343
004","59","3.302","30.5","16.9","37.3","8.5","5.1",".",".","1.7",".",".",".",".",".",".",".","."
"","343
005","254","2.605","21.7","9.1","19.3","12.2","22.4","7.9","7.1",".",".",".",".",".",".",".",".","0.4"
"March 14, 2019","","","","","","","","","","","","","","","","","","Page 189 of 438",""
