"COMPUTER SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Programming III","","Course Total","528","3.292","28.8","22.7","35.6","8.0","3.0","1.1","0.6","0.2",".",".",".",".",".",".",".","."
"Introducing Comp Sci to K-12","402","001","51","3.961","94.1","3.9","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412","002","44","2.930","22.7","27.3","6.8","18.2","13.6","6.8","2.3",".",".",".",".",".",".","2.3",".","."
"Intro-Combinatrl Optimizatn","425","001","8","2.688","12.5","37.5",".","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435","001","61","2.697","13.1","11.5","26.2","23.0","18.0","4.9","3.3",".",".",".",".",".",".",".",".","."
"","475","001","21","2.857","28.6",".","33.3","19.0","9.5","4.8","4.8",".",".",".",".",".",".",".",".","."
"","475","002","33","3.061","30.3","12.1","30.3","6.1","15.2","6.1",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","","Course Total","54","2.981","29.6","7.4","31.5","11.1","13.0","5.6","1.9",".",".",".",".",".",".",".",".","."
"CS Education","502","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Software Engineering","506","001","174","3.058","18.4","30.5","26.4","8.6","9.2","4.6","1.7",".",".",".",".",".",".",".",".","0.6"
"","514","001","9","2.833","33.3","11.1",".","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"","514","002","11","3.045","18.2","18.2","18.2","45.5",".",".",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","","Course Total","20","2.950","25.0","15.0","10.0","35.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Intro to Theory of Computing","520","001","51","3.255","27.5","23.5","27.5","15.7","5.9",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","64","3.270","37.5","23.4","15.6","10.9","4.7","6.3",".",".",".",".",".",".","1.6",".",".","."
"Linear Programming Methods","525","001","18","3.056","44.4","5.6","22.2","16.7",".",".","11.1",".",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","532","001","75","3.547","44.0","29.3","22.7","2.7",".","1.3",".",".",".",".",".",".",".",".",".","."
"Image Processing","533","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computational Photography","534","002","142","3.232","33.8","24.6","19.0","9.9","6.3","2.8","2.1",".",".",".",".",".","0.7",".",".","0.7"
"","536","001","109","2.958","22.0","24.8","21.1","9.2","11.9","8.3","1.8",".",".",".",".",".",".",".",".","0.9"
"","536","002","69","3.588","43.5","34.8","15.9","2.9","1.4",".",".",".",".",".",".",".","1.4",".",".","."
"Intro-Progm Langs&Compilers","","Course Total","178","3.202","30.3","28.7","19.1","6.7","7.9","5.1","1.1",".",".",".",".",".","0.6",".",".","0.6"
"Intro to Operating Systems","537","001","256","3.215","32.8","21.5","18.4","15.6","8.6","1.2","1.2","0.4",".",".",".",".",".",".",".","0.4"
"Intro-Artificl Neural Ntwrk","539","001","14","3.536","42.9","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","540","001","280","2.993","23.6","17.5","20.4","19.6","12.9","3.6","1.1",".",".",".",".",".","0.7",".","0.7","."
"Intro-Computer Architecture","552","001","27","3.648","44.4","44.4","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","564","001","178","3.161","22.5","24.2","26.4","16.9","9.0","0.6",".","0.6",".",".",".",".",".",".",".","."
"","576","001","25","3.060","36.0","12.0","24.0","8.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","576","002","24","3.435","45.8","25.0","8.3","8.3","4.2","4.2",".",".",".",".",".",".",".","4.2",".","."
"Introduction to Bioinformatics","","Course Total","49","3.240","40.8","18.4","16.3","8.2","8.2","4.1","2.0",".",".",".",".",".",".","2.0",".","."
"","577","001","208","3.043","19.7","8.7","48.6","16.3","3.8","1.0","1.9",".",".",".",".",".",".",".",".","."
"","577","002","104","2.889","14.4","9.6","40.4","22.1","10.6",".","2.9",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","","Course Total","312","2.992","17.9","9.0","45.8","18.3","6.1","0.6","2.2",".",".",".",".",".",".",".",".","."
"Virtual Reality","579","001","29","3.672","55.2","27.6","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"User Experience Design 1","611","001","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"UG Elective Topic in Computing","639","001","25","3.961","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640","001","126","3.619","53.2","28.6","11.9","1.6","4.8",".",".",".",".",".",".",".",".",".",".","."
"","681","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","090","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
