"ENGLISH AS A SECOND LANGU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"110
001
Intensv English as 2nd Lang","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"115
002","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"115
004","10","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"Course Total
Grammar for Academic Use","20","",".",".",".",".",".",".",".",".",".","95.0","5.0",".",".",".",".","."
"116
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
003","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
004","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"116
006","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
007","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"116
008","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"116
009","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"116
010","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
012","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"116
013","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
014","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"116
015","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
017","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Acad Reading and Vocab Skills","204","",".",".",".",".",".",".",".",".",".","96.6","3.4",".",".",".",".","."
"117
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
003","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
004","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"117
005","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"117
007","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
008","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
010","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"117
012","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
013","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
014","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
015","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
017","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"117
018","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
020","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"117
022","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
023","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"117
024","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
025","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"Course Total
Academic Writing I","292","",".",".",".",".",".",".",".",".",".","96.6","3.4",".",".",".",".","."
"118
001","9","3.278","44.4",".","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"118
002","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
003","13","3.192","23.1","46.2","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"118
004","13","3.615","61.5",".","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
005","12","3.292","41.7","33.3","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"118
007","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
008","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
