"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","151","2.861","21.2","9.3","35.1","7.9","18.5","6.6","1.3",".",".",".",".",".",".",".",".","."
"","101
002","136","2.754","15.4","10.3","33.1","6.6","27.9","5.9","0.7",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","287","2.810","18.5","9.8","34.1","7.3","23.0","6.3","1.0",".",".",".",".",".",".",".",".","."
"","102
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","10","3.350","40.0",".","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","10","3.250","30.0","30.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","102
004","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
005","11","3.500","45.5","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","11","3.227","27.3","18.2","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
007","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","11","3.455","45.5","18.2","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
009","8","3.125",".","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","10","3.000","30.0",".","40.0",".","30.0",".",".",".",".",".",".",".",".",".",".","."
"","102
011","11","3.318","9.1","45.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","6","3.167","33.3",".","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
013","7","3.214","42.9",".","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
014","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","10","3.100","30.0","20.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","102
016","14","3.393","42.9","14.3","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
017","11","3.273","36.4","18.2","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
018","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
019","12","3.542","41.7","41.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
020","13","3.462","38.5","15.4","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","202","3.384","37.6","21.8","28.7","4.5","6.9","0.5",".",".",".",".",".",".",".",".",".","."
"","151
001","95","3.113","28.4","7.4","38.9","8.4","13.7",".","1.1",".",".",".",".",".","2.1",".",".","."
"","151
002","89","2.899","18.0","11.2","40.4","9.0","15.7","3.4","2.2",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","184","3.008","23.4","9.2","39.7","8.7","14.7","1.6","1.6",".",".",".",".",".","1.1",".",".","."
"Introductory Biology","152
001","119","2.899","16.0","6.7","49.6","6.7","16.8","3.4","0.8",".",".",".",".",".",".",".",".","."
"","153
001","24","2.854","20.8",".","41.7","12.5","20.8","4.2",".",".",".",".",".",".",".",".",".","."
"","153
002","24","3.125","12.5","20.8","54.2","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","48","2.990","16.7","10.4","47.9","8.3","14.6","2.1",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","42","3.012","11.9","19.0","52.4","2.4","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
022","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","14","3.958","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","11","3.182","36.4","18.2","9.1","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","80","2.604","15.0","6.3","27.5","5.0","32.5","8.8","1.3",".",".",".",".",".","1.3",".","1.3","1.3"
"","316
001","16","3.531","50.0","31.3","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","316
002","24","3.563","41.7","37.5","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".","."
