"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","29","3.879","82.8","10.3","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1
011","39","3.645","69.2","15.4","5.1","2.6",".","2.6","2.6","2.6",".",".",".",".",".",".",".","."
"","1
012","31","3.597","61.3","9.7","22.6",".","6.5",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","99","3.699","70.7","12.1","11.1","1.0","2.0","1.0","1.0","1.0",".",".",".",".",".",".",".","."
"Contemporary Dance I","11
001","24","3.729","75.0","16.7",".","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"","111
001","22","3.841","81.8","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory I","Course Total","55","3.920","92.7","3.6","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","118
001","31","3.917","87.1","3.2","6.5",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","118
002","24","3.896","87.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance","Course Total","55","3.907","87.3","3.6","7.3",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","21","3.571","66.7","9.5","4.8","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wkshp Body Studies & Practices","132
001","14","3.750","71.4",".","7.1",".","7.1",".",".","14.3",".",".",".",".",".",".",".","."
"","135
001","44","3.872","86.4","2.3","6.8",".","2.3",".",".",".","2.3",".",".",".",".",".",".","."
"","135
002","32","3.938","90.6","6.3","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
003","32","3.767","71.9","15.6",".","3.1",".","3.1",".","6.3",".",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","108","3.862","83.3","7.4","3.7","0.9","0.9","0.9",".","1.9","0.9",".",".",".",".",".",".","."
"Pilates Equipment Lab I","136
001","15","3.885","66.7","20.0",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Dance Production","140
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Workshop","162
001","16","3.844","81.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"World Dance Cultures","165
001","24","3.583","54.2","25.0","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"Dancing Gender","168
001","132","3.573","60.6","20.5","8.3","1.5","3.8","1.5","2.3","0.8",".",".",".",".","0.8",".",".","."
"","2
001","36","3.889","88.9","2.8","5.6","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","2
002","41","3.692","65.9","14.6","4.9","4.9","4.9",".",".","2.4",".",".",".",".",".",".",".","2.4"
"","2
003","42","3.951","90.5","4.8","2.4",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","2
004","34","3.897","88.2","2.9","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballroom Dance I","Course Total","153","3.857","83.0","6.5","5.2","2.0","1.3",".",".","1.3",".",".",".",".",".",".",".","0.7"
"Writing the Moving Body","200
001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","21
001","26","3.792","80.8","7.7",".",".",".",".","3.8","3.8",".",".",".",".","3.8",".",".","."
"","211
001","15","3.966","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th III","Course Total","25","3.974","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22
001","17","3.906","76.5","17.6",".",".",".",".",".",".","5.9",".",".",".",".",".",".","."
"","225
001","12","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","225
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ballet Technique II","Course Total","13","3.615","53.8","30.8",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Dance/Movemnt Therapy","231
001","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Mat II","235
001","15","3.667","80.0","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","240
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Fundamentals-Dancers","241
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","Page 103 of 438",""
