"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","87","3.853","75.9","14.9","6.9",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"130
General Botany","001","","109","2.725","18.3","9.2","28.4","7.3","26.6","10.1",".",".",".",".",".",".",".",".",".","."
"151","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"151","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","3","***","","","","","","","","","","","","","","","",""
"152
Introductory Biology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"240
Plants and Humans","001","","69","3.420","39.1","27.5","23.2","4.3","4.3",".","1.4",".",".",".",".",".",".",".",".","."
"260
Introductory Ecology","001","","63","2.937","15.9","19.0","36.5","9.5","12.7","4.8","1.6",".",".",".",".",".",".",".",".","."
"265
Rainforests and Coral Reefs","001","","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Botany","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300
Plant Anatomy","001","","25","2.708","20.0","24.0","20.0",".","8.0","20.0","4.0","4.0",".",".",".",".",".",".",".","."
"330
Algae","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"338
Environmental Biogeography","001","","8","3.571","50.0","25.0",".",".","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"370
Grassland Ecology","001","","26","3.788","88.5",".","3.8","3.8",".","3.8",".",".",".",".",".",".",".",".",".","."
"400
Plant Systematics","001","","28","3.389","50.0","10.7","21.4","7.1","3.6",".","3.6","3.6",".",".",".",".",".",".",".","."
"402
Dendrology","001","","6","3.500","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"410
Evolutionary Biology","001","","10","3.300","30.0","20.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"455
The Vegetation of Wisconsin","001","","20","3.861","80.0","5.0",".",".","5.0",".",".","5.0",".",".",".",".","5.0",".",".","."
"460
General Ecology","001","","41","2.846","12.2","29.3","17.1","14.6","14.6","2.4","4.9","2.4",".",".",".",".","2.4",".",".","."
"474
Ethnobotany","001","","21","3.786","81.0","14.3",".",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"499
Intermediate Directed Research","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"575","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"575","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"575","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","7","3.900","57.1","14.3",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"655
Biology and Genetics of Fungi","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"691","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 186 of 438",""
