"TERM : 1192","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2018-2019","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","","",""
"SURGICAL SCIENCES","","Section
#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"938","SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"938","SURG SCI","776
Dept. Total","3.598","36.1","5.3","7.3","1.2","0.5","0.1","",".","49.1","",".",".","",".","",".","0.1",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"938","SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"","Junior","4","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
