"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"815
Knowledge Developmt in Nursing","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"816","001","","7","",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".",".",".","."
"816","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Nursing Research","Course Total","","9","4.000","22.2",".",".",".",".",".",".","66.7","11.1",".",".",".",".",".",".","."
"819
Clincal Field Practicum","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"826","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"826","020","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"826","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"826","060","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract III","Course Total","","27","3.923","81.5","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","3.7"
"828","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"828","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"828","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"828","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"828","060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"828","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Leadership III","Course Total","","27","3.911","77.8","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".",".","3.7"
"847
Health Policy Practicum","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"906","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"906","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Scholarly Project","Course Total","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","11","",".",".",".",".",".",".",".","72.7",".",".",".","18.2","9.1",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","075","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","13","3.906","46.2","7.7","7.7",".",".",".",".","38.5",".",".",".",".",".",".",".","."
