"GEOSCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","",""
"","100","001","156","3.075","25.0","20.5","23.7","13.5","9.6","5.8",".","1.3",".",".",".",".",".",".",".","0.6"
"","100","002","177","2.974","20.3","21.5","21.5","15.3","11.3","5.6","1.1","3.4",".",".",".",".",".",".",".","."
"Introductory Geology","","Course Total","333","3.022","22.5","21.0","22.5","14.4","10.5","5.7","0.6","2.4",".",".",".",".",".",".",".","0.3"
"Environmental Geology","106","001","107","3.346","39.3","18.7","23.4","13.1","3.7","1.9",".",".",".",".",".",".",".",".",".","."
"Geology of the National Parks","109","001","137","2.861","13.9","9.5","14.6","13.9","21.9",".",".","25.5",".",".",".",".",".",".","0.7","."
"Evolution and Extinction","110","001","215","3.149","24.7","22.3","30.7","10.7","5.6","3.7","0.9","0.9",".",".",".",".",".",".",".","0.5"
"Life in Earth's Extreme Envir","117","001","38","3.635","47.4","28.9","21.1",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Natural Hazards and Disasters","140","001","113","3.313","30.1","34.5","15.0","5.3","1.8","1.8","3.5",".",".",".",".",".",".",".","8.0","."
"Directed Study","199","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geologic Structures","202","001","34","3.059","29.4","11.8","35.3","5.9","11.8","2.9","2.9",".",".",".",".",".",".",".",".","."
"Geobiology","304","001","26","2.980","23.1","15.4","19.2","19.2","15.4","3.8",".",".",".",".",".",".",".",".","3.8","."
"Gems: Sci Behind the Sparkle","331","001","196","2.908","15.3","17.3","32.7","13.3","16.3","5.1",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","335","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Mineralogy","360","001","27","3.093","18.5","25.9","25.9","14.8","14.8",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Geology","376","001","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Energy Resources","411","001","45","3.389","42.2","24.4","17.8","4.4","8.9","2.2",".",".",".",".",".",".",".",".",".","."
"Sedimentary & Stratigraphy Lab","431","001","23","3.696","52.2","34.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Methods","537","001","11","3.611","45.5","9.1","27.3",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Recent Marine Sediments","551","001","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","11","2.455","9.1",".","36.4","18.2","27.3",".","9.1",".",".",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","595","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hydrogeology","627","001","20","2.850","10.0","15.0","35.0","15.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","691","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Directed Study","698","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Igneous Petrology","771","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Tectonophysics","797","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","004","8","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"Advanced Topics in Geology","","Course Total","36","4.000","80.6",".",".",".",".",".",".","19.4",".",".",".",".",".",".",".","."
"Glacial & Pleistocene Geol","920","001","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","990","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 237 of 438",""
