"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"S&A PHM","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","4","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","8","3.633","37.5","50.0","12.5",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","12","3.674","41.7","50.0","8.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","41","3.858","73.2","7.3","2.4",".","",".","",".","",".","17.1","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","134","3.619","52.2","26.1","14.9","6.7","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","11","3.947","90.9","9.1",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","4","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","151","3.639","55.6","24.5","13.9","6.0","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
