"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"511
Tissue Engineering Laboratory","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"517
Biology in Engineering Seminar","001","","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"550
Intro to Biolog & Med Microsys","001","","37","3.676","59.5","16.2","24.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Biochemical Engineering","001","","12","3.455","25.0","50.0","8.3",".","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"567
Physics-Diagnostic Radiol","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"573
Med Img Sci:Math & Cncpt Fndtn","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601","002","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","006","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","18","3.955","77.8","16.7",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"603
Topics-Bio-Medical Engr","006","","21","3.690","47.6","42.9","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"615
Tissue Mechanics","001","","31","3.403","38.7","32.3","16.1","3.2","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","29","3.586","34.5","51.7","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"710
Adv in Med Magnet Resonance","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"780
Methods Quantitative Biology","001","","13","3.846","84.6","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","097","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","139","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","20","",".",".",".",".",".",".",".","60.0",".",".",".","40.0",".",".",".","."
"799","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","096","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 114 of 438",""
