"PATHO-BIOLOGICAL SCIENCES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","52","3.971","98.1",".",".","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"210
HIV: Sex, Society and Science","001","","57","3.360","47.4","5.3","35.1","3.5","5.3","3.5",".",".",".",".",".",".",".",".",".","."
"510
Veterinary Immunology","001","","96","3.396","26.0","31.3","38.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"512
Intro-Veterinary Epidemolgy","001","","96","3.380","39.6","15.6","31.3","8.3","5.2",".",".",".",".",".",".",".",".",".",".","."
"513
Veterinary Virology","001","","96","3.708","59.4","26.0","12.5","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"517
Veterinary Bact & Mycology","001","","96","3.615","54.2","16.7","28.1",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"525
Active, Integrated Learning I","001","","96","4.000","81.3",".",".",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"528
Immunology","001","","8","3.100","12.5","12.5","25.0",".","12.5",".",".","37.5",".",".",".",".",".",".",".","."
"559
Veterinary General Path","003","","96","3.891","82.3","13.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Veterinary Systemic Path I","002","","96","3.474","32.3","35.4","28.1","3.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","30","4.000","86.7",".",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"675","001","","8","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"675","002","","51","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","003","","180","",".",".",".",".",".",".",".","99.4",".",".",".",".","0.6",".",".","."
"Special Topics","Course Total","","239","4.000","0.4",".",".",".",".",".",".","99.2",".",".",".",".","0.4",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","25","",".",".",".",".",".",".",".","96.0",".",".",".",".",".",".","4.0","."
"930
Advanced Seminar","012","","25","3.938","28.0","4.0",".",".",".",".",".","68.0",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
