"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","18","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","36","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","65","4.000","96.9",".",".",".","",".","",".","",".","3.1","",".",".","",".",".",".",".",".","."
"Undergraduates","120","4.000","98.3",".",".",".","",".","",".","",".","1.7","",".",".","",".",".",".",".",".","."
"Graduate","23","4.000","4.3",".",".",".","",".","",".","",".","65.2","",".",".","",".","13.0",".",".","17.4","."
"Prof Yr 1","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 2","7","",".",".",".",".","",".","",".","",".","85.7","",".",".","",".","14.3",".",".",".","."
"Prof Yr 3","7","3.700","28.6","28.6",".",".","",".","",".","",".","42.9","",".",".","",".",".",".",".",".","."
"Prof Yr 4","351","3.875","79.8","15.4","2.3","0.3","",".","",".","",".","1.1","",".",".","",".","0.3","0.6","0.3",".","."
"Professionals","366","3.873","77.0","15.3","2.2","0.3","",".","",".","",".","3.8","",".",".","",".","0.5","0.5","0.3",".","."
