"L&S","","","","","","","","","","","","","","","","","","",""
"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Human Behavior & Environmnt","711
001","40","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
010","25","3.860","76.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
020","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology-SWPract. in MH","Course Total","65","3.931","87.7","10.8","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
001","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
002","17","3.765","70.6","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","741
010","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
020","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interventn-Chldrn, Youth, Fam","Course Total","64","3.852","78.1","15.6","4.7","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","742
001","18","3.417","11.1","61.1","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
002","21","3.524","23.8","57.1","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","Course Total","39","3.474","17.9","59.0","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","800
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
003","14","3.917","78.6",".","7.1",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","800
004","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
005","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
101","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
102","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
103","15","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
104","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
105","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
201","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
202","12","3.375","50.0","16.7","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"","800
203","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","175","3.872","81.7","10.9","5.1","0.6",".","0.6",".",".",".",".",".",".","1.1",".",".","."
"","821
001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","821
010","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"SW Pract. in Aging & MH","Course Total","24","3.792","70.8","16.7","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
