"BIOLOGICAL SYSTEMS ENGINE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","3","***","","","","","","","","","","","","","","","",""
"201
Land Surveying Fundamentals","001","","34","3.242","20.6","35.3","26.5","5.9","5.9","2.9",".",".",".",".",".",".",".",".",".","2.9"
"249
Engr Principles-Biol Systms","001","","87","2.713","19.5","8.0","34.5","10.3","12.6","10.3","4.6",".",".",".",".",".",".",".",".","."
"270
Intro to Computer Aided Design","001","","49","3.184","22.4","30.6","20.4","14.3","12.2",".",".",".",".",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"367","001","","66","3.242","24.2","24.2","34.8","9.1","7.6",".",".",".",".",".",".",".",".",".",".","."
"367","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","68","3.235","25.0","23.5","33.8","8.8","8.8",".",".",".",".",".",".",".",".",".",".","."
"372
On-Site Waste Water Treatment","001","","34","2.926","8.8","20.6","32.4","23.5","14.7",".",".",".",".",".",".",".",".",".",".","."
"460
Biorefining: Energy & Products","001","","23","3.130","13.0","30.4","34.8","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"461
Food&Bioprocessing Operations","001","","19","3.211","31.6","31.6","15.8","10.5",".","10.5",".",".",".",".",".",".",".",".",".","."
"475
Engr Principles-Ag Machinery","001","","26","3.000","15.4","11.5","53.8","11.5","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"491
Legal Aspects-Engineering","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"509
Biol Sys Eng Dsgn Practicum II","001","","62","3.371","16.1","21.0","11.3","4.8","3.2",".",".",".",".",".",".",".","43.5",".",".","."
"517
Biology in Engineering Seminar","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699
Special Problems","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"900
Seminar","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","30","",".",".",".",".",".",".",".","10.0",".",".",".","90.0",".",".",".","."
