"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4910","3.295","40.3","19.7","17.3","9.1","7.3","3.1","0.8","1.3","",".",".","",".","0.6","0.3","0.0","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1143","3.185","34.0","22.3","17.1","12.9","7.9","4.1","1.4",".","",".",".","",".",".","0.1",".",".","0.2"
"Sophomore","","958","3.227","36.6","21.3","17.5","9.6","9.7","4.3","0.6",".","",".",".","",".",".","0.1",".",".","0.2"
"Junior","","1102","3.205","34.3","21.6","20.6","9.0","9.0","3.8","1.2",".","",".",".","",".","0.1","0.3",".",".","0.2"
"Senior","","1454","3.465","49.7","17.2","16.6","7.3","5.2","1.3","0.2","0.1","",".",".","",".","1.7","0.5",".","0.1","."
"Undergraduates","","4657","3.288","39.5","20.3","17.9","9.5","7.7","3.2","0.8","0.0","",".",".","",".","0.6","0.3",".","0.0","0.1"
"Special","","36","2.875","25.0","11.1","22.2","8.3","5.6","11.1","2.8","8.3","",".",".","",".",".",".","2.8","2.8","."
"Graduate","","219","3.807","58.9","6.4","3.2","0.9","0.5",".",".","26.0","",".","1.4","",".","2.3","0.5",".",".","."
"Prof Yr 1","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","4913","3.295","40.3","19.6","17.3","9.1","7.3","3.1","0.8","1.3","",".","0.1","",".","0.6","0.3","0.0","0.1","0.1"
