"BIOSTATISTICS & MED INFORM Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","",""
"451
Intro to SAS Prog for Pop Hlth","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"511
Intro to Biostat Mthd-Pub Hlth","001","","48","3.813","64.6","33.3","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"541
Intro to Biostatistics","001","","55","3.811","67.3","21.8","7.3",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"544
Intro to Clinical Trials II","001","","26","3.646","46.2","26.9","19.2",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"551
Intro to Biostats for Pop Hlth","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"576","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"576","002","","9","3.556","44.4","44.4",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Bioinformatics","Course Total","","14","3.538","42.9","35.7",".","7.1","7.1",".",".",".",".",".",".",".",".",".","7.1","."
"642
Statistcl Mthds-Epidemiolgy","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","007","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"741
Survival Analysis Thry & Mthds","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"826","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"826","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"826","023","","17","3.719","52.9","29.4","11.8",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Biostats & Biomed Informatics","Course Total","","27","3.767","70.4","18.5","7.4",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"899","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-dissertator Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"915
Computn&Informatcs in Biol&Med","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"918
Hlth Informatics-Med Students","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
