"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"","101
001","","17","3.471","41.2","29.4","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","17","3.412","41.2","17.6","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","14","3.464","50.0","14.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","16","3.438","31.3","50.0","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Russian","Course Total","","64","3.445","40.6","28.1","15.6","10.9","4.7",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Polish","111
001","","7","3.900","57.1","14.3",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"1st Semester Serbo-Croatian","141
001","","14","3.958","78.6","7.1",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav101","181
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","203
002","","10","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Russian","Course Total","","14","3.429","28.6","35.7","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Czech","217
001","","6","3.417","50.0",".","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","245
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","245
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","245
003","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Literatures","Course Total","","23","3.783","78.3",".","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","","13","3.308","38.5","30.8","7.7",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"Third Year Russian I","Course Total","","20","3.350","35.0","35.0","10.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Third Year Polish I","277
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"6th Sem Intensive Polish","306
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Russian Lang & Culture I","315
001","","18","3.441","38.9","22.2","22.2","5.6","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"Fourth Year Russian I","321
001","","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Polish II","332
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem Intensive Serbo-Cr","341
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dostoevsky","422
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Russian Culture","433
001","","16","3.767","62.5","18.8","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Istorija srpske/hrvatske li","449
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Smr:Russian Lit&Cultr","560
001","","8","3.500","50.0","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","705
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Soviet, Emigre, Post-Sov. Lit","709
001","","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Topics in Slavic Literature","755
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Proseminar-Slavic Lit & Cult","800
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","820
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","820
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"College Teaching of Russian","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 322 of 438",""
