"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"B M I","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","12","3.903","75.0","16.7",".",".",".","",".","",".","8.3","",".",".","",".","",".",".",".",".","."
"Undergraduates","13","3.912","76.9","15.4",".",".",".","",".","",".","7.7","",".",".","",".","",".",".",".",".","."
"Special","32","3.769","65.6","18.8","9.4",".",".","",".","",".","3.1","",".",".","",".","",".",".",".","3.1","."
"Graduate","103","3.724","58.3","23.3","7.8","1.0","1.0","",".","",".","7.8","",".",".","",".","",".",".",".","1.0","."
"Prof Yr 2","9","4.000","77.8",".",".",".",".","",".","",".",".","",".",".","",".","",".","22.2",".",".","."
"Prof Yr 4","50","3.838","70.0","28.0","2.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","59","3.857","71.2","23.7","1.7",".",".","",".","",".",".","",".",".","",".","",".","3.4",".",".","."
