"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"B M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","43","3.806","62.8","30.2","7.0",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","160","3.529","50.0","32.5","12.5","2.5","0.6","0.6","",".",".","",".","1.3",".",".",".",".",".","."
"Senior","463","3.651","58.3","18.6","12.7","1.5","2.2","0.4","",".",".","",".","5.4",".",".","0.6",".","0.2","."
"Undergraduates","667","3.636","56.7","22.6","12.3","1.6","1.6","0.4","",".",".","",".","4.0",".",".","0.4",".","0.1","."
"Special","17","3.342","23.5","17.6","17.6","17.6",".",".","",".","5.9","",".","11.8","5.9",".",".",".",".","."
"Graduate","240","3.781","30.8","12.5","3.3",".",".",".","",".","24.2","",".","18.8",".","9.6",".",".",".","."
"Prof Yr 2","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","",".",".","100.0",".",".",".","."
"Professionals","3","***","","","","","","","","","","","",".",".","33.3",".",".",".","."
