"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"","990
071","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
099","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","34","",".",".",".",".",".",".",".","5.9","2.9",".","",".","91.2",".",".",".","."
"Independent Work","999
012","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"POLI SCI
778","Dept. Total","2634","3.319","32.1","26.5","19.4","8.3","5.1","0.8","0.8","4.0","0.0","0.8","",".","1.5","0.3","0.1","0.0","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","292","3.068","17.8","20.9","33.6","16.8","8.9","1.0","0.3","0.3",".",".","",".",".",".","0.3",".","."
"Sophomore","","531","3.294","27.9","31.6","24.1","9.6","5.5","0.6","0.6","0.2",".",".","",".",".",".",".",".","."
"Junior","","711","3.333","34.9","28.7","18.3","8.0","5.5","1.1","1.3","0.3",".","1.7","",".",".","0.3",".",".","."
"Senior","","764","3.363","36.3","28.5","18.2","7.1","5.1","1.0","1.0","0.3",".","0.9","",".","1.0","0.4","0.1",".","."
"Undergraduates","","2298","3.294","31.5","28.3","21.5","9.2","5.8","1.0","0.9","0.3",".","0.8","",".","0.3","0.2","0.1",".","."
"Special","","98","3.300","11.2","13.3","7.1","5.1","2.0",".",".","54.1",".","1.0","",".",".","1.0",".","1.0","4.1"
"Graduate","","236","3.784","46.6","14.8","3.0","0.8",".",".","0.4","19.5","0.4",".","",".","13.1","1.3",".",".","."
"Prof Yr 4","","2","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","2634","3.319","32.1","26.5","19.4","8.3","5.1","0.8","0.8","4.0","0.0","0.8","",".","1.5","0.3","0.1","0.0","0.2"
