"EGR","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2822","3.355","36.1","22.1","19.8","8.7","4.6","1.3","0.4","4.3","0.1","0.1","",".","2.0","0.5",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","80","3.674","62.5","20.0","8.8","3.8","2.5","1.3",".",".",".",".","",".",".","1.3",".",".","."
"Sophomore","","222","3.163","27.5","20.7","21.6","18.0","9.9","1.4",".",".",".",".","",".",".","0.9",".",".","."
"Junior","","546","3.177","25.1","29.3","26.4","11.2","4.6","2.2","0.9",".",".",".","",".",".","0.4",".",".","."
"Senior","","1460","3.332","37.9","23.2","22.3","9.4","5.3","1.4","0.5",".",".",".","",".",".","0.1",".",".","."
"Undergraduates","","2308","3.296","34.7","24.3","22.7","10.4","5.5","1.6","0.5",".",".",".","",".",".","0.3",".",".","."
"Special","","26","3.257","38.5","15.4","26.9","11.5","3.8","3.8",".",".",".",".","",".",".",".",".",".","."
"Graduate","","562","3.785","36.7","10.3","4.8","0.2","0.5",".",".","34.5","0.4","0.5","",".","10.1","1.6",".","0.4","."
"","Dept. Total","2896","3.355","35.2","21.5","19.3","8.5","4.5","1.3","0.4","6.7","0.1","0.1","",".","2.0","0.5",".","0.1","."
