"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","",""
"V Nabokov: Russ&Amer Writng","223
001","24","3.771","75.0","12.5","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Literature and Culture I","241
001","108","3.528","50.9","22.2","15.7","7.4","2.8",".","0.9",".",".",".",".",".",".",".",".","."
"Literature and Culture II","242
001","72","3.854","83.3","12.5","1.4",".","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"","245
001","18","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","245
002","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
003","15","3.400","46.7","40.0",".",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","245
004","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
005","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
006","15","3.267","26.7","26.7","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Seminar in the Major","Course Total","100","3.640","60.0","22.0","11.0","4.0","2.0",".","1.0",".",".",".",".",".",".",".",".","."
"","307
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","60","3.917","85.0","13.3","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structure of English","314
001","22","3.568","40.9","36.4","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"English Phonology","315
001","12","3.375","8.3","66.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"English Lang Variation in U.S.","316
001","15","3.667","53.3","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Language Acquisition","318
001","29","3.845","82.8","6.9","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","350
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","350
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Gender & Literature","Course Total","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"British Lit since 1900","353
001","23","3.000","4.3","34.8","34.8","17.4","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","403
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","403
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Writng Across Curriculm","Course Total","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Nonfiction","407
001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
001","14","3.885","78.6","7.1","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","408
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
003","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
004","14","3.714","92.9",".",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Creative Writing: Fiction","Course Total","58","3.868","87.9","5.2","3.4",".",".",".","1.7","1.7",".",".",".",".",".",".",".","."
"Creative Writing: Poetry","409
001","18","3.719","66.7","11.1",".","5.6","5.6",".",".","11.1",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","411
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Spread of English","414
001","18","3.529","55.6","22.2","11.1",".",".",".","5.6",".",".",".",".",".","5.6",".",".","."
"Introduction to TESOL Methods","415
001","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"English in Society","416
001","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-English Lang & Linguis","420
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Medieval Literature","423
001","26","3.115","11.5","23.1","46.2","15.4","3.8",".",".",".",".",".",".",".",".",".",".","."
"Topic in Early Modern Lit","430
001","30","3.617","36.7","53.3","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Early Works of Shakespeare","431
001","33","3.424","33.3","39.4","21.2","3.0",".",".","3.0",".",".",".",".",".",".",".",".","."
"Topic in Brit Lit since 1900","453
001","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","Page 226 of 438",""
