"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","",""
"Intro Land Arch Design","210
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","15","3.107","40.0","6.7","26.7",".","13.3",".","6.7",".",".",".",".",".","6.7",".",".","."
"","250
005","15","3.533","60.0",".","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","15","3.533","53.3","13.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","14","3.364","14.3","28.6","35.7",".",".",".",".",".",".",".",".",".","14.3","7.1",".","."
"","250
008","20","3.100","45.0","5.0","25.0","5.0","5.0","15.0",".",".",".",".",".",".",".",".",".","."
"","250
009","16","3.000","31.3","25.0","18.8",".","12.5","6.3","6.3",".",".",".",".",".",".",".",".","."
"","250
010","15","3.200","13.3","46.7","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","Course Total","110","3.250","37.3","17.3","24.5","5.5","6.4","3.6","1.8",".",".",".",".",".","2.7","0.9",".","."
"Prin Land Arc Dsgn&Graphics","261
002","15","3.714","53.3","26.7","13.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Landscape Plants I","263
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Landscape Arch Tech II","354
001","15","3.400","26.7","40.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Planting Design I","365
001","14","3.429","21.4","42.9","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Visual Communication","460
001","10","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550
001","11","3.045","18.2","9.1","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".","."
"Designing Sustainable Regions","563
001","11","3.500","27.3","54.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apps of GIS in Planning","622
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Built Environment","639
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Restoration Ecology","668
001","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Rsrce Presrv&Lndsc Hst","677
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","699
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","13","4.000","76.9",".",".",".",".",".",".","15.4",".",".",".",".","7.7",".",".","."
"Theories-Landscape Change","710
001","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Graduate Seminar","940
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","7","",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".",".",".","."
