"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Educ in Animal Sci","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"101
Intro to Animal Sciences","001","","79","3.397","27.8","27.8","39.2","2.5","1.3",".",".",".",".",".",".",".","1.3",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","146","3.267","38.4","19.9","18.5","13.0","6.2","3.4","0.7",".",".",".",".",".",".",".",".","."
"220
Grwth,Compos&Eval-Meat Anml","001","","18","3.250","33.3",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"370
Livestck Prod&Hlth-Ag Dvlpm","001","","35","3.429","22.9","48.6","20.0","8.6",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"414
Ruminant Nutrition","001","","8","2.063","12.5","12.5","12.5","25.0",".","12.5","25.0",".",".",".",".",".",".",".",".","."
"415
Appl-Monogastrc Nutr Prncpl","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"431
Beef Cattle Production","001","","15","2.800","20.0","6.7","20.0","20.0","33.3",".",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","28","3.370","32.1","21.4","28.6","14.3",".",".",".",".",".",".",".",".","3.6",".",".","."
"435
Animal Sciences Proseminar","001","","31","3.983","93.5","3.2",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"515
Commercial Meat Processing","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honor Thesis","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","065","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Practicum-Animal Sci Tchng","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","13","4.000","84.6",".",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"875","005","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","30","3.932","83.3","6.7","3.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"951
Seminar in Animal Breeding","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"954
Endocrinlgy-Reprodctve Phys","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
