"L&S","","","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"PHYSICS
754","Dept. Total","3464","3.105","26.3","21.3","20.0","13.9","10.0","2.1","0.8","3.5","",".","0.0","",".","1.4","0.3","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","162","3.324","38.9","30.2","14.2","8.6","5.6","1.9","0.6",".","",".",".","",".",".",".",".",".","."
"Sophomore","","688","3.066","24.7","25.0","17.9","17.6","11.3","2.8","0.4",".","",".",".","",".",".","0.1",".",".","0.1"
"Junior","","1224","3.052","25.3","19.0","23.3","16.9","12.1","2.3","0.9",".","",".",".","",".",".","0.1",".",".","0.1"
"Senior","","951","3.080","23.9","23.2","22.4","14.1","11.1","2.4","1.3","0.1","",".","0.1","",".","0.7","0.4",".","0.2","."
"Undergraduates","","3025","3.077","25.5","22.3","21.3","15.7","11.3","2.4","0.9","0.0","",".","0.0","",".","0.2","0.2",".","0.1","0.1"
"Special","","39","3.230","43.6","10.3","10.3","10.3","5.1","2.6","5.1","7.7","",".",".","",".",".",".",".","5.1","."
"Graduate","","399","3.612","31.3","15.0","10.8","0.8","0.5",".",".","29.3","",".",".","",".","10.5","0.8","0.8","0.3","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3464","3.105","26.3","21.3","20.0","13.9","10.0","2.1","0.8","3.5","",".","0.0","",".","1.4","0.3","0.1","0.1","0.1"
