"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"Econ Approach Current Issues","100
001","90","3.579","45.6","42.2","6.7","1.1",".","1.1","2.2",".",".",".",".",".",".",".","1.1","."
"","101
001","325","2.961","20.3","19.7","20.0","20.0","15.7","2.8","0.9","0.3",".",".",".",".","0.3",".",".","."
"","101
002","394","2.959","20.1","20.1","19.8","21.1","14.5","3.0","1.0","0.3",".",".",".",".",".",".",".","0.3"
"","101
003","389","3.306","25.2","32.6","27.5","10.5","2.8","1.0","0.3",".",".",".",".",".",".",".",".","."
"","101
004","428","3.199","24.1","26.2","23.8","15.2","9.8",".",".","0.2",".",".",".",".","0.5",".","0.2","."
"Principles-Microeconomics","Course Total","1536","3.115","22.5","24.9","22.9","16.5","10.5","1.6","0.5","0.2",".",".",".",".","0.2",".","0.1","0.1"
"","102
001","189","3.026","17.5","23.3","22.8","22.2","13.2","1.1",".",".",".",".",".",".",".",".",".","."
"","102
002","329","3.067","21.6","18.2","34.7","9.7","12.5","3.3",".",".",".",".",".",".",".",".",".","."
"","102
003","237","2.818","16.0","18.1","19.8","19.8","18.1","7.6",".",".",".",".",".",".","0.4",".",".","."
"Principles-Macroeconomics","Course Total","755","2.979","18.8","19.5","27.0","16.0","14.4","4.1",".",".",".",".",".",".","0.1",".",".","."
"Prin/Econ-Accelratd Treatmt","111
001","16","3.300","25.0","31.3","12.5","25.0",".",".",".",".",".",".",".",".",".",".","6.3","."
"Internship Economics","228
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","21","2.571","14.3","19.0","19.0","9.5","23.8","4.8","9.5",".",".",".",".",".",".",".",".","."
"","300
002","6","2.083",".",".","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","27","2.463","11.1","14.8","22.2","11.1","25.9","3.7","11.1",".",".",".",".",".",".",".",".","."
"","301
001","183","3.205","25.1","25.7","24.0","15.3","9.8",".",".",".",".",".",".",".",".",".",".","."
"","301
003","176","3.074","31.3","15.3","23.9","11.9","11.9","3.4","2.3",".",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","359","3.141","28.1","20.6","24.0","13.6","10.9","1.7","1.1",".",".",".",".",".",".",".",".","."
"","302
001","187","3.201","28.9","25.7","23.5","12.3","4.8","3.7","1.1",".",".",".",".",".",".",".",".","."
"","302
002","180","3.647","57.2","20.0","19.4","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","367","3.420","42.8","22.9","21.5","7.1","3.3","1.9","0.5",".",".",".",".",".",".",".",".","."
"Developmnt-Economic Thought","305
001","35","3.015","17.1","14.3","31.4","22.9","11.4",".",".","2.9",".",".",".",".",".",".",".","."
"The Real Estate Process","306
001","60","3.008","18.3","13.3","35.0","18.3","15.0",".",".",".",".",".",".",".",".",".",".","."
"Study Abroad-Intermed Econ","309
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
001","156","2.926","19.2","18.6","19.2","21.8","18.6","1.3","1.3",".",".",".",".",".",".",".",".","."
"","310
002","142","3.007","20.4","19.0","24.6","17.6","15.5","1.4","0.7",".",".",".",".",".",".","0.7",".","."
"Stats:Measrmnt in Economics","Course Total","298","2.965","19.8","18.8","21.8","19.8","17.1","1.3","1.0",".",".",".",".",".",".","0.3",".","."
"Intmed Microecon-Adv Treatment","311
001","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","6","3.167","33.3",".","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","180","2.947","16.7","21.1","21.7","25.0","11.1","2.8","1.1","0.6",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","81","3.096","24.7","25.9","28.4","6.2","8.6","1.2","4.9",".",".",".",".",".",".",".",".","."
"Economics Poverty Inequality","370
001","40","3.176","37.5","5.0","20.0","22.5","5.0",".","2.5","5.0",".",".",".",".",".",".","2.5","."
"Contemporary Economic Issues","390
002","29","3.517","48.3","24.1","17.2","3.4","6.9",".",".",".",".",".",".",".",".",".",".","."
"Intro Applied Econometrics","400
001","68","3.030","22.1","22.1","16.2","22.1","13.2","2.9",".","1.5",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","97","2.928","21.6","19.6","17.5","19.6","14.4","7.2",".",".",".",".",".",".",".",".",".","."
"","420
001","10","2.900","10.0","10.0","30.0","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","12","2.955","16.7","16.7","8.3","41.7","8.3",".",".",".",".",".",".",".",".","8.3",".","."
"Urban & Regional Economics","Course Total","22","2.929","13.6","13.6","18.2","45.5","4.5",".",".",".",".",".",".",".",".","4.5",".","."
