"TERM : 1192","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2018-2019","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","","","",""
"COMPARATIVE BIOSCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","","","","","",""
"COMP BIO
934","Dept. Total","463","3.316","37.1","16.8","21.0","6.7","6.3","1.5","",".","10.2","",".",".","",".","",".","",".",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","3.923","83.3","16.7",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","10","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","14","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","30","3.984","96.7","3.3",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","31","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","384","3.289","37.2","20.1","25.3","8.1","7.6","1.8","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","17","",".",".",".",".",".",".","",".","88.2","",".",".","",".","",".","",".",".","11.8","."
"Professionals","","402","3.289","35.6","19.2","24.1","7.7","7.2","1.7","",".","4.0","",".",".","",".","",".","",".",".","0.5","."
"","Dept. Total","463","3.316","37.1","16.8","21.0","6.7","6.3","1.5","",".","10.2","",".",".","",".","",".","",".",".","0.4","."
