"NUCLEAR ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","","","",""
"Research and Thesis","Course Total","22","",".",".",".",".",".",".","",".","90.9","4.5",".","",".","4.5","",".",".",".","."
"N E
684","Dept. Total","236","3.310","18.6","22.5","16.9","8.9","3.0","0.4","",".","26.3","0.8",".","",".","2.5","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","5","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Senior","","99","3.144","15.2","29.3","30.3","19.2","5.1","1.0","",".",".",".",".","",".",".","",".",".",".","."
"Undergraduates","","104","3.136","15.4","29.8","28.8","18.3","6.7","1.0","",".",".",".",".","",".",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","132","3.601","22.0","15.9","7.6","1.5",".",".","",".","47.0","1.5",".","",".","4.5","",".",".",".","."
"","Dept. Total","237","3.310","19.0","22.4","16.9","8.9","3.0","0.4","",".","26.2","0.8",".","",".","2.5","",".",".",".","."
