"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","996
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Graphics","Course Total","5","***","","","","","","","","","","","","","","","",""
"","999
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
005","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
009","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
011","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
014","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
015","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
018","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
020","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
024","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
031","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
042","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
050","9","3.900","66.7","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","999
055","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
061","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
068","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
077","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
078","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
080","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
089","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
097","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","174","3.995","98.3","1.1",".",".",".",".",".",".",".",".",".",".","0.6",".",".","."
