"L&S","","","","","","","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNI Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","",""
"URB R PL
Dept. Total
944","182","3.647","64.3","14.8","10.4","1.1","1.1","",".","1.6","6.0","",".",".","",".","",".","0.5",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","22","3.159","22.7","27.3","36.4","4.5","4.5","",".","4.5",".","",".",".","",".","",".",".",".",".","."
"Junior","14","3.176","28.6","28.6","35.7",".",".","",".","7.1",".","",".",".","",".","",".",".",".",".","."
"Senior","23","3.394","60.9","13.0","8.7","4.3","4.3","",".","4.3","4.3","",".",".","",".","",".",".",".",".","."
"Undergraduates","59","3.239","39.0","22.0","25.4","3.4","3.4","",".","5.1","1.7","",".",".","",".","",".",".",".",".","."
"Special","5","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","118","3.900","76.3","11.0","3.4",".",".","",".",".","8.5","",".",".","",".","",".","0.8",".",".","."
"Dept. Total","182","3.647","64.3","14.8","10.4","1.1","1.1","",".","1.6","6.0","",".",".","",".","",".","0.5",".",".","."
