"Summary by Level","#","","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","9","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","41","3.845","82.9","9.8","4.9","",".","2.4","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","51","3.870","86.3","7.8","3.9","",".","2.0","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","64","4.000","23.4",".",".","",".",".","",".","",".","71.9","",".",".","",".","4.7","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","2","***","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
