"LITERATURE IN TRANSLATION","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","35","3.586","48.6","8.6","17.1","8.6",".",".",".","2.9",".",".",".",".","14.3",".",".","."
"19&20 C Russian Lit Tran I","203","001","51","3.833","74.5","19.6","3.9","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"The Writings of Vaclav Havel","208","001","22","3.952","86.4","9.1",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222","001","23","3.022","21.7","17.4","39.1","4.3","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"V Nabokov: Russ&Amer Writng","223","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Manga","231","001","47","3.777","78.7","12.8","4.3","2.1",".",".","2.1",".",".",".",".",".",".",".",".","."
"","233","001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","233","002","10","3.611","50.0","10.0","30.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Russian Life&Cult (to 1917)","","Course Total","19","3.675","52.6","21.1","21.1",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"The World of Sagas","235","001","20","3.842","75.0","10.0","10.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Bascom Crse-In Translation","236","001","17","3.412","58.8","11.8","17.6",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","247","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","247","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","247","004","13","3.875","76.9","7.7","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"Topics-Slavic Lit in Translatn","","Course Total","20","3.763","75.0","5.0","10.0",".","5.0",".",".",".",".",".",".",".",".","5.0",".","."
"Lit Tran: Modern Italy","254","001","66","3.939","89.4","9.1","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lt Trn:Boccaccios Decameron","255","001","22","3.425","50.0","18.2","9.1","4.5",".","9.1",".","9.1",".",".",".",".",".",".",".","."
"Italy & Invention of America","260","001","29","3.741","62.1","24.1","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","002","49","3.918","87.8","8.2","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","10","3.200","20.0","40.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","271","002","11","3.350","27.3","45.5","9.1",".",".","9.1",".",".",".",".",".",".","9.1",".",".","."
"","275","001","127","3.555","53.5","27.6","13.4",".","1.6","1.6","2.4",".",".",".",".",".",".",".",".","."
"","275","002","40","3.888","85.0","10.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","167","3.653","61.1","23.4","10.8","0.6","1.2","1.2","1.8",".",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326","001","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Vampire in Literature and Film","329","001","278","3.924","94.2","2.9","0.4","0.7","0.4","0.4","0.7",".",".",".",".",".","0.4",".",".","."
"In Transl:19C Scand Fiction","337","001","25","3.333","20.0","40.0","28.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"In Transl:Scand Tale&Ballad","345","001","10","3.680","30.0","50.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Machiavelli and His World","365","001","11","3.409","18.2","45.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410","001","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410","002","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","","Course Total","36","3.875","80.6","13.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Serbian & Croatian Lit","454","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Polish Lit Mid Ages-1863","471","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
