"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LATIN AMER, CARIB & IBERIAN","Section","","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"US & Ltn Am:Col Era to Present","268","001","5","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Quechua","361","001","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Quechua","363","001","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","376","001","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","376","002","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yucatec Maya","","Course Total","2","***","","","","","","","","","","","","","","","","","","","","","",""
"Topics in LACIS","440","004","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","002","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","982","001","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"LACIS
525","","Dept. Total","19","3.955","78.9","5.3","",".","",".","",".","",".","",".","15.8","",".",".",".",".",".",".",".","."
