"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"E P D","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","100.0","",".","",".",".",".",".","."
"Sophomore","","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","44","3.416","20.5","47.7","22.7","6.8",".",".",".","",".","",".","2.3","",".","",".",".",".",".","."
"Senior","","315","3.329","19.0","46.7","24.4","5.4","2.5","0.6","0.6","",".","",".",".","",".","",".","0.6",".",".","."
"Undergraduates","","362","3.341","19.3","46.7","24.0","5.5","2.2","0.6","0.6","",".","",".","0.6","",".","",".","0.6",".",".","."
"Special","","14","3.540","42.9","42.9","14.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","329","3.873","80.2","15.2","3.3",".","0.6",".",".","",".","",".",".","",".","",".","0.6",".",".","."
"","Dept. Total","705","3.574","48.2","31.9","14.2","2.8","1.4","0.3","0.3","",".","",".","0.3","",".","",".","0.6",".",".","."
