"L&S","","","","","","","","","","","","","","","","","","","","",""
"ASIAN LANGUAGES AND CULTU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"185
ASIAN","","","","","","","","","","","","","","","","","","","","",""
"100
002
Gateway to Asia Special Topics","59","3.147","23.7","30.5","18.6","11.9","10.2","1.7","1.7","1.7",".","",".",".","",".","",".",".",".","."
"203
001
Western Experience in Asia","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"268
001
Tibetan Cultures & Traditions","34","3.838","91.2","2.9","2.9",".",".",".","2.9",".",".","",".",".","",".","",".",".",".","."
"300
001","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"300
002","19","3.947","89.5","10.5",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"300
003","7","3.333","71.4",".",".",".",".",".","14.3",".",".","",".",".","",".","","14.3",".",".","."
"300
007","11","3.000","18.2","27.3","9.1","27.3","18.2",".",".",".",".","",".",".","",".","",".",".",".","."
"Course Total
Topics in Asian Studies","57","3.634","63.2","21.1","3.5","5.3","3.5",".","1.8",".","",".",".","",".","",".","1.8",".",".","."
"354
001
Early Modern Japanese Lit","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"ASIAN
Dept. Total
185","158","3.487","53.8","21.5","8.9","6.3","5.1","1.3","1.9","0.6","",".",".","",".","",".","0.6",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"185
ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","58","3.707","58.6","27.6","10.3","3.4",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","41","3.683","61.0","24.4","7.3","4.9","2.4",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","35","3.103","42.9","17.1","8.6","8.6","11.4",".","8.6",".","",".",".","",".","",".","2.9",".",".","."
"Senior","19","3.026","42.1","10.5","5.3","15.8","15.8","10.5",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","153","3.480","53.6","22.2","8.5","6.5","5.2","1.3","2.0",".","",".",".","",".","",".","0.7",".",".","."
"Special","3","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Dept. Total","158","3.487","53.8","21.5","8.9","6.3","5.1","1.3","1.9","0.6","",".",".","",".","",".","0.6",".",".","."
