"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Stdt Tchg in Elem School","Course Total","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","","8","",".",".",".",".",".",".",".",".",".","87.5",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","","7","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Info for Teachers","501
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","506
001","","28","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","","29","3.931","96.6",".",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","","57","3.895","84.2","14.0",".",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"","507
001","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","507
002","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inclusive Education-Secondary","Course Total","","57","3.991","98.2","1.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","511
002","","18","",".",".",".",".",".",".",".",".",".","94.4",".",".",".",".","5.6","."
"","511
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","511
004","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","511
005","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"School-Based Practicum","Course Total","","57","",".",".",".",".",".",".",".",".",".","98.2",".",".",".",".","1.8","."
"Meth&Matl-Early Childhd Ed","550
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev School & Community","Course Total","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Literacy","632
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Early Childhood Education","660
001","","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Lrng Envr-Initial Ed Progm","663
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","673
002","","30","3.966","93.3",".","3.3",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","673
003","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Learning 2nd Lang & Literacies","Course Total","","57","3.982","96.5",".","1.8",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"","675
001","","8","3.643","50.0","12.5","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","675
002","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","","16","3.789","68.8","6.3","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Independent Reading","699
057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociocultural Theory","702
001","","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Curriculum Planning","704
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to C&I","712
001","","23","3.864","73.9","17.4","4.3",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Reform&Change-Curric&Instr","716
001","","15","4.000","86.7",".",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"Introd to Narrative Inquiry","718
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"School Practicum in CS&D","720
001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
