"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"NTP","","","","","","","","","","","","","","","","","","","","",""
"Junior","6","3.250",".","66.7","16.7","16.7",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","55","3.550","70.9","7.3","12.7","1.8","3.6","1.8","1.8",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","61","3.520","63.9","13.1","13.1","3.3","3.3","1.6","1.6",".","",".",".","",".",".","",".",".",".","."
"Special","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","153","3.662","27.5","7.2","4.6",".","0.7",".",".","52.3","",".","4.6","",".","2.0","",".",".","1.3","."
"Prof Yr 2","10","4.000","40.0",".",".",".",".",".",".","50.0","",".","10.0","",".",".","",".",".",".","."
"Prof Yr 3","3","***","","","","","","","","","","",".","",".","33.3","",".",".",".","."
"Professionals","13","4.000","46.2",".",".",".",".",".",".","38.5","",".","7.7","",".","7.7","",".",".",".","."
