"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
020","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
035","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
063","8","4.000","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","37.5","."
"","267
089","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
120","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
135","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
189","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","49","4.000","93.9",".",".",".",".",".",".",".",".",".",".",".",".",".","6.1","."
"","268
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","268
002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
004","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
071","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
171","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-String","Course Total","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
101","13","3.615","53.8","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","271
102","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
103","15","3.267","33.3","26.7","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","39","3.513","46.2","28.2","15.4","7.7",".","2.6",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 1","301
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Arr & Orch for Mus Teach","304
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Improvisation","331
001","16","3.656","56.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
003","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogy","Course Total","17","3.969","88.2","5.9",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concert Band","41
001","50","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Instr","410
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey Music-Baroque Era","413
001","11","3.273","36.4","18.2","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Classic Era","414
001","20","3.575","55.0","15.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","306","4.000","99.7",".",".",".",".",".",".",".",".",".",".",".",".",".","0.3","."
"Teaching Pop Inst Mus 1","420
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","114","4.000","99.1",".",".",".",".",".",".","0.9",".",".",".",".",".",".",".","."
"","43
002","86","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
003","50","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","Page 290 of 438",""
