"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"150
Education and Public Policy","001","","40","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Race,Ethnicty&Inequal-Am Ed","001","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"210
Youth, Education, and Society","001","","19","3.763","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"220
Human Rights and Education","001","","41","3.939","90.2","7.3","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","001","","69","3.891","84.1","10.1","5.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","24","3.438","66.7","4.2","4.2","8.3","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"300","003","","33","3.848","90.9","6.1",".",".",".",".","3.0",".",".",".",".",".",".",".",".","."
"300","004","","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","005","","34","3.721","67.6","20.6","8.8",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","190","3.808","81.6","10.0","4.2","1.1","1.6","1.1","0.5",".",".",".",".",".",".",".",".","."
"340
Comparative Education","001","","44","3.852","84.1","9.1","2.3","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"412
History-American Education","001","","91","3.584","48.4","28.6","14.3","4.4","1.1","1.1",".",".",".",".",".",".",".",".",".","2.2"
"500
Topics on Soc Issues and Ed","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Anthropology and Education","001","","26","3.580","42.3","26.9","26.9",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"600
Problems in Educ Pol","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"622
Hist-Rad&Expermntl Ed in US&UK","001","","19","3.528","68.4","10.5",".","5.3","5.3",".","5.3",".",".",".",".",".","5.3",".",".","."
"648
Sociology of Education","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Independent Reading","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"701
Intro to Ed Policy Studies","001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"780","001","","13","3.500","53.8","38.5",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"780","003","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Special Topics in Educ Policy","Course Total","","27","3.750","74.1","18.5",".",".",".",".","3.7",".",".",".",".",".","3.7",".",".","."
"788
Qual Rsch Mthds-Educ: Field I","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Community-based Spaces","001","","13","4.000","84.6",".",".",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"911
Seminar in Urban Education","001","","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"990","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","10","",".",".",".",".",".",".",".","90.0",".",".",".",".","10.0",".",".","."
"990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","8","",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","49","",".",".",".",".",".",".",".","89.8","2.0",".",".","6.1","2.0",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
