"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","183","3.401","24.6","44.8","19.7","7.1","2.2",".","0.5",".",".",".",".",".",".","1.1",".","."
"Intro Earth System","120","001","111","3.123","18.9","27.0","29.7","13.5","7.2","1.8","0.9",".",".",".",".",".",".",".","0.9","."
"Physical Systems of Envr","127","001","13","3.333","30.8","7.7","46.2","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"Intro People-Environment Geog","139","001","55","3.091","7.3","30.9","49.1","5.5","5.5",".","1.8",".",".",".",".",".",".",".",".","."
"Digital Globe:GIScience & Tech","170","001","256","3.398","43.4","24.2","16.4","7.0","7.0","0.8","1.2",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","10","3.000","20.0","40.0","10.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","6","3.083","33.3","50.0",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Geog of Social Organization","301","001","24","3.587","50.0","20.8","16.7","8.3",".",".",".",".",".",".",".",".","4.2",".",".","."
"Introduction to the City","305","001","128","3.288","23.4","37.5","20.3","10.9","3.9",".","1.6","1.6",".",".",".",".",".",".","0.8","."
"Introduction to Geopolitics","318","001","33","3.583","54.5","18.2","9.1","3.0","3.0","3.0",".","9.1",".",".",".",".",".",".",".","."
"Climatic Environments-Past","335","001","8","3.143",".","25.0","62.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Nature, Power and Society","337","001","11","3.111","9.1","18.2","45.5",".","9.1",".",".",".",".",".",".",".","18.2",".",".","."
"Environmental Biogeography","338","001","29","3.672","48.3","41.4","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","30","3.569","36.7","36.7","23.3",".",".",".",".",".",".",".",".",".",".",".",".","3.3"
"World Regions in Global Contxt","340","001","161","3.625","57.8","19.3","13.0","2.5","3.7",".","0.6",".",".",".",".",".","3.1",".",".","."
"Australia: Environment&Society","359","001","25","3.357","44.0","12.0","12.0","8.0","4.0",".","4.0","16.0",".",".",".",".",".",".",".","."
"","370","001","65","3.359","40.0","20.0","29.2","1.5","4.6",".","3.1",".",".",".",".",".","1.5",".",".","."
"","370","070","10","3.500","50.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","","Course Total","75","3.378","41.3","20.0","28.0","1.3","5.3",".","2.7",".",".",".",".",".","1.3",".",".","."
"Intro Envir Remote Sensing","371","001","19","2.579","10.5","10.5","36.8",".","31.6","5.3","5.3",".",".",".",".",".",".",".",".","."
"","377","001","41","2.913","26.8","19.5","22.0","12.2","4.9","2.4","9.8","2.4",".",".",".",".",".",".",".","."
"","377","070","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","","Course Total","51","3.110","39.2","15.7","19.6","9.8","3.9","2.0","7.8","2.0",".",".",".",".",".",".",".","."
"","378","001","34","3.779","73.5","14.7","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","378","070","33","3.439","75.8","3.0","9.1",".",".","3.0","9.1",".",".",".",".",".",".",".",".","."
"Introduction to Geocomputing","","Course Total","67","3.612","74.6","9.0","7.5","3.0",".","1.5","4.5",".",".",".",".",".",".",".",".","."
"US Envir Policy & Regulation","439","001","16","3.467","43.8","18.8","18.8","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Making the American Landscape","469","001","36","3.606","38.9","36.1","13.9","2.8",".",".",".","5.6",".",".",".",".",".","2.8",".","."
"Dev and Env in Southeast Asia","557","001","15","3.100","6.7","20.0","26.7","6.7","6.7",".",".","6.7",".",".",".",".","26.7",".",".","."
"Colloq-Undergraduate Majors","565","001","40","3.697","52.5","30.0","10.0","2.5",".",".",".",".",".",".",".",".","5.0",".",".","."
"History of Geographic Thought","566","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","572","001","13","3.833","76.9","7.7",".","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"","572","070","42","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","","Course Total","55","3.907","89.1","1.8","5.5","1.8",".",".",".",".",".",".",".",".","1.8",".",".","."
"","574","001","21","3.725","61.9","23.8","4.8",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","574","070","20","3.875","90.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Spatial Database","","Course Total","41","3.800","75.6","14.6","2.4",".","4.9",".",".","2.4",".",".",".",".",".",".",".","."
"Interactive Cart & Geovis","575","070","10","3.600","60.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Spatial Web/Mobile Programming","576","070","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579","002","25","3.208","24.0","24.0","40.0",".",".","8.0",".",".",".",".",".",".",".",".","4.0","."
"","579","070","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 234 of 438",""
