"CIVIL SOC & COMMUNITY STUDI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","","","",""
"Community and Social Change","125","001","","41","3.588","39.0","43.9","9.8","2.4","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"Nonprofit Sector: Overview","300","001","","44","3.807","84.1","6.8","6.8",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"Communicating-Key Audiences","335","001","","43","3.905","88.4","4.7","2.3",".","2.3",".",".",".",".",".",".",".","2.3",".",".","."
"Evaluation and Planning","345","001","","35","3.957","91.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philanthropy & Civic Engagemnt","400","001","","25","3.760","76.0","4.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Prgm Planning-Fam&Consmr Ed","428","001","","28","3.696","67.9","17.9","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Civil Soc & Commnty Leadership","460","001","","38","3.526","50.0","26.3","5.3","15.8","2.6",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","501","003","","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Based Resrch & Eval","570","001","","26","3.673","65.4","11.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Community Issues and Action","600","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","601","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","12","3.857","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","13","3.882","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","002","","9","4.000","22.2",".",".",".",".",".",".",".",".",".",".","77.8",".",".",".","."
"","801","003","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Soc & Community Research","","Course Total","","32","3.979","75.0","3.1",".",".",".",".",".",".",".",".",".","21.9",".",".",".","."
"Research Design&Methodology","811","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","12","",".",".",".",".",".",".",".","75.0","8.3",".",".","16.7",".",".",".","."
"","999","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
