"ENGR MECHANICS & ASTRONA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Private Pilot","110
001","16","3.900","75.0","18.8",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","201
001","165","2.561","13.9","16.4","20.0","17.0","12.7","15.2","4.8",".",".",".",".",".",".",".",".","."
"","201
002","140","2.529","17.9","15.0","17.1","15.0","12.9","14.3","7.9",".",".",".",".",".",".",".",".","."
"Statics","Course Total","305","2.546","15.7","15.7","18.7","16.1","12.8","14.8","6.2",".",".",".",".",".",".",".",".","."
"Dynamics","202
001","117","2.353","3.4","6.0","23.1","28.2","23.1","12.8","2.6",".",".",".",".",".","0.9",".",".","."
"Mechanics of Materials","303
001","100","2.735","14.0","11.0","34.0","16.0","15.0","7.0","3.0",".",".",".",".",".",".",".",".","."
"","307
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","7","3.214",".","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
006","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","6","3.167",".","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
010","8","3.375","37.5","25.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
013","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","69","3.500","37.7","31.9","26.1","1.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","44","3.750","65.9","31.8",".",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"Design Probs in Engineering","469
001","40","3.163","32.5","15.0","17.5","22.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech of Materials I","506
001","61","3.057","14.8","24.6","42.6","6.6","6.6","3.3","1.6",".",".",".",".",".",".",".",".","."
"Aerodynamics","521
001","47","2.957","17.0","14.9","23.4","31.9","12.8",".",".",".",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal","540
001","16","3.375","37.5","18.8","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Heterogeneous&Multiphase Mtrls","541
001","11","3.773","72.7","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Dynamics","542
002","55","2.745","10.9","10.9","36.4","14.5","23.6",".","3.6",".",".",".",".",".",".",".",".","."
"Engineering Analysis I","547
001","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","599
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
002","26","3.080","11.5","30.8","30.8","7.7","15.4",".",".","3.8",".",".",".",".",".",".",".","."
"","601
003","24","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","55","3.408","32.7","40.0","14.5","3.6","7.3",".",".","1.8",".",".",".",".",".",".",".","."
"Intro to Finite Elements","605
001","29","3.389","27.6","37.9","13.8","6.9","6.9",".",".","3.4",".",".",".",".",".",".","3.4","."
"","690
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","2","***","","","","","","","","","","","","","","","",""
"Theory of Elasticity","700
001","15","3.467","40.0","26.7","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","790
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
037","2","***","","","","","","","","","",".",".",".",".",".",".","."
