"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","264","3.294","21.2","40.2","20.1","13.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","300
002","238","3.202","18.1","36.6","22.3","17.2","4.2","1.7",".",".",".",".",".",".",".",".",".","."
"","300
003","113","3.128","14.2","37.2","25.7","13.3","8.0",".","1.8",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","615","3.228","18.7","38.2","22.0","14.8","5.4","0.7","0.3",".",".",".",".",".",".",".",".","."
"","305
001","54","3.685","53.7","31.5","13.0","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","50","3.590","42.0","38.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","50","3.490","34.0","36.0","26.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","154","3.591","43.5","35.1","18.2","2.6","0.6",".",".",".",".",".",".",".",".",".",".","."
"","310
001","40","3.338","27.5","32.5","27.5","10.0",".","2.5",".",".",".",".",".",".",".",".",".","."
"","310
002","42","3.345","23.8","40.5","19.0","14.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"","310
003","41","3.256","17.1","24.4","53.7","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","310
004","41","3.378","12.2","53.7","31.7","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","164","3.329","20.1","37.8","32.9","7.3","1.2","0.6",".",".",".",".",".",".",".",".",".","."
"","335
001","56","3.991","98.2","1.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","57","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brand Management & Strategy","Course Total","113","3.996","99.1","0.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001","49","3.857","77.6","18.4","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","355
002","48","3.840","72.9","18.8","6.3",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","97","3.849","75.3","18.6","4.1","1.0",".",".",".","1.0",".",".",".",".",".",".",".","."
"","365
001","44","2.932","11.4","4.5","63.6",".","20.5",".",".",".",".",".",".",".",".",".",".","."
"","365
002","34","3.118","8.8","17.6","67.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","365
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","83","3.060","13.3","12.0","61.4",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","399
117","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
152","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","3","***","","","","","","","","","","","","","","","",""
"Global Marketing Strategy","420
001","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
001","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
002","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","34","3.824","67.6","29.4","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","37","3.392","35.1","24.3","29.7","5.4","5.4",".",".",".",".",".",".",".",".",".",".","."
"","422
002","20","3.225","10.0","40.0","40.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","57","3.333","26.3","29.8","33.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","423
001","10","3.350","40.0","50.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","423
002","19","3.632","42.1","47.4","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement & Supply","Course Total","29","3.534","41.4","48.3","3.4","3.4",".",".","3.4",".",".",".",".",".",".",".",".","."
"","425
002","42","3.381","14.3","64.3","16.7","2.4",".",".","2.4",".",".",".",".",".",".",".",".","."
"","425
003","25","3.380","8.0","64.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","67","3.381","11.9","64.2","19.4","3.0",".",".","1.5",".",".",".",".",".",".",".",".","."
"","460
001","47","3.564","40.4","34.0","23.4","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","35","3.429","25.7","48.6","20.0","2.9",".","2.9",".",".",".",".",".",".",".",".",".","."
"","460
003","26","3.462","19.2","53.8","26.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","108","3.495","30.6","43.5","23.1","1.9",".","0.9",".",".",".",".",".",".",".",".",".","."
"","640
001","10","2.813","20.0",".","10.0","30.0","20.0",".",".","10.0",".",".",".",".","10.0",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 62 of 438"
