"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","21","3.024","14.3","28.6","23.8","23.8","4.8","4.8",".",".","",".","",".",".","",".","",".",".",".","."
"Asian American Movement","121
001","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".","",".","",".",".","",".","",".",".",".","."
"AsianAm Lit & Pop Culture","152
001","157","3.587","43.3","32.5","20.4","1.9","0.6",".",".",".","",".","",".",".","",".","","1.3",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","147","3.544","49.7","34.7","6.1","4.8","1.4","1.4","2.0",".","",".","",".",".","",".","",".",".",".","."
"Ethnic Movements in U.S.","220
001","28","3.635","53.6","28.6",".","3.6","7.1",".",".",".","",".","",".",".","",".","",".","3.6","3.6","."
"Topics-Asian Amer Studies","240
001","37","3.770","56.8","40.5","2.7",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","560
001","27","3.481","40.7","29.6","18.5","7.4","3.7",".",".",".","",".","",".",".","",".","",".",".",".","."
"","560
002","23","3.848","78.3","17.4",".","4.3",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"Humanities Topics","Course Total","50","3.650","58.0","24.0","10.0","6.0","2.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"ASIAN AM
184","Dept. Total","450","3.571","48.0","32.0","11.8","4.2","1.8","0.7","0.7","",".","",".",".","",".","",".","0.4","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","80","3.532","48.8","35.0","7.5","3.8",".","1.3","2.5","",".","",".",".","",".","",".","1.3",".",".","."
"Sophomore","","160","3.638","53.1","28.1","10.6","5.6","0.6","0.6",".","",".","",".",".","",".","",".",".","0.6","0.6","."
"Junior","","107","3.551","42.1","41.1","11.2","1.9","2.8",".","0.9","",".","",".",".","",".","",".",".",".",".","."
"Senior","","100","3.520","46.0","27.0","16.0","5.0","4.0","1.0",".","",".","",".",".","",".","",".","1.0",".",".","."
"Undergraduates","","447","3.573","48.1","32.2","11.4","4.3","1.8","0.7","0.7","",".","",".",".","",".","",".","0.4","0.2","0.2","."
"Special","","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","450","3.571","48.0","32.0","11.8","4.2","1.8","0.7","0.7","",".","",".",".","",".","",".","0.4","0.2","0.2","."
