"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","10","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","21","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","34","3.955","97.1",".",".","",".","","2.9","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","5","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","61","3.881","68.9","14.8","6.6","",".","",".","",".","",".","9.8","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","68","3.915","75.0","16.2","1.5","",".","",".","",".","",".","5.9","",".",".","",".","",".","",".",".","1.5","."
"Professionals","130","3.900","71.5","16.2","3.8","",".","",".","",".","",".","7.7","",".",".","",".","",".","",".",".","0.8","."
