"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","101
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Biological Sci","Course Total","57","3.974","96.5","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001","19","3.500","42.1","26.3","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Humanities","Course Total","38","3.750","71.1","13.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","106
001","16","3.563","75.0","6.3","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","106
003","19","3.632","36.8","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Social Sci","Course Total","35","3.600","54.3","31.4","8.6","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"1st-Yr Smr: Humanities&Soc Sci","110
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","49","3.646","71.4","10.2","6.1","6.1",".","2.0","2.0",".",".",".",".",".",".",".",".","2.0"
"","210
002","96","3.589","75.0","9.4","4.2","2.1","2.1","4.2","3.1",".",".",".",".",".",".",".",".","."
"L&S Career Development","Course Total","145","3.608","73.8","9.7","4.8","3.4","1.4","3.4","2.8",".",".",".",".",".",".",".",".","0.7"
"","250
001","18","3.511","72.2","16.7",".",".",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","250
002","14","3.845","64.3","28.6",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","250
003","16","3.819","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","17","3.878","76.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","19","3.890","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","17","3.921","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","18","3.919","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
008","17","3.838","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","152","3.828","77.0","18.4","2.0","0.7",".","0.7","0.7",".",".",".",".",".","0.7",".",".","."
"","260
001","15","3.567","66.7","20.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","260
002","13","3.692","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Intrnshp in Liberal Arts & Sci","Course Total","28","3.625","78.6","10.7","3.6",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Teach Learn Letters Sciences","300
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Paradigms&Process-Acad Inquiry","315
001","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
