"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"890","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","035","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","045","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","054","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","094","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","099","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","126","",".",".",".",".",".",".",".","61.9",".",".",".","37.3","0.8",".",".","."
"901","001","","13","3.731","69.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","002","","19","3.684","68.4","10.5","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in ECE","Course Total","","32","3.703","68.8","9.4","15.6","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"922
Seminar in Plasma Physics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
