"ALS","","","","","","","","","","","","","","","","","","","","",""
"FARM & INDUSTRY SHORT COU Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"375
FISC","","","","","","","","","","","","","","","","","","","","",""
"Dairy Cattle Selection & Eval","105","001","","16","3.313","31.3","12.5","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Livestock Housing","110","001","","15","3.633","60.0","13.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Agribusiness Feasibility Plng","115","001","","8","3.625","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Meat Animal Eval & Marketing","120","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ag Commodities Marketing","121","002","","21","2.738","14.3","23.8","9.5","9.5","38.1","4.8",".",".",".",".",".",".",".",".",".","."
"Reproduction of Farm Animals","134","001","","17","2.853","35.3","5.9","11.8","11.8","29.4",".","5.9",".",".",".",".",".",".",".",".","."
"Farm Machinery","140","001","","11","3.455","45.5","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Precision Ag Technologies","145","001","","8","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plant Science","20","001","","10","2.800","10.0","30.0","30.0","10.0",".","20.0",".",".",".",".",".",".",".",".",".","."
"Agricultural Sales","21","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"FISC 1st-Year Seminar","55","001","","46","3.380","50.0","19.6","15.2","4.3","6.5",".","4.3",".",".",".",".",".",".",".",".","."
"Ag, Food Syst, & Rural Dev","56","001","","46","3.120","47.8","15.2","10.9","4.3","10.9","2.2","8.7",".",".",".",".",".",".",".",".","."
"Introduction to Soils","57","001","","45","3.193","46.7","15.6","11.1","4.4","8.9","8.9","2.2","2.2",".",".",".",".",".",".",".","."
"Forage Crops","58","001","","46","3.141","32.6","30.4","6.5","15.2","8.7","2.2","4.3",".",".",".",".",".",".",".",".","."
"PBDL: Business Start-up & Mktg","72","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","75","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","75","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","75","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in FISC","","Course Total","","5","***","","","","","","","","","","","","","","","",""
