"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","2832","1.210","6.4","0.1","21.2","",".","2.2","0.1","0.1","21.6","",".",".","",".","",".","0.3",".","0.1","0.8"
"Summary by College/School","","#","Ave","A","AB","B","BC","","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"Special","","22","0.938","4.5","4.5",".","",".",".",".",".","50.0","",".",".","",".","",".","4.5",".","9.1","."
"Graduate","","10","3.750","30.0","30.0",".","",".",".",".",".","30.0","",".",".","",".","",".","10.0",".",".","."
"Prof Yr 1","","1099","1.182","5.5",".","30.4","",".","2.1",".","0.2","0.4","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","735","1.292","6.9",".","15.2","",".","2.9","0.1",".","36.3","",".",".","",".","",".","0.7",".",".","2.4"
"Prof Yr 3","","770","1.237","7.0",".","14.3","",".","2.3","0.1",".","37.8","",".",".","",".","",".",".",".","0.1","0.5"
"Prof Yr 4","","196","1.073","5.6",".","21.9","",".",".","0.5",".","17.9","",".",".","",".","",".","0.5",".",".","."
"Professionals","","2800","1.205","6.3",".","21.4","",".","2.2","0.1","0.1","21.3","",".",".","",".","",".","0.2",".","0.0","0.8"
"","College Total","2832","1.210","6.4","0.1","21.2","",".","2.2","0.1","0.1","21.6","",".",".","",".","",".","0.3",".","0.1","0.8"
