"TERM : 1192","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2018-2019","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH AS A SECOND LANGU Section","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","","","","","",""
"ESL
Dept. Total
351","840","3.569","11.9","5.5","2.6","0.6","0.6","",".","0.5","",".","",".","76.0","2.3","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","258","3.950","3.5","0.4",".",".",".","",".",".","",".","",".","95.0","1.2","",".","",".",".",".","."
"Sophomore","219","3.661","13.7","11.0","3.2",".","0.5","",".",".","",".","",".","70.3","1.4","",".","",".",".",".","."
"Junior","141","3.591","29.8","6.4","7.1","2.1",".","",".","1.4","",".","",".","47.5","5.7","",".","",".",".",".","."
"Senior","76","3.318","25.0","15.8","6.6","2.6","5.3","",".","2.6","",".","",".","36.8","5.3","",".","",".",".",".","."
"Undergraduates","694","3.569","14.4","6.6","3.2","0.7","0.7","",".","0.6","",".","",".","71.2","2.6","",".","",".",".",".","."
"Special","26","",".",".",".",".",".","",".",".","",".","",".","100.0",".","",".","",".",".",".","."
"Graduate","126","",".",".",".",".",".","",".",".","",".","",".","98.4","0.8","",".","",".",".",".","."
"Prof Yr 4","13","",".",".",".",".",".","",".",".","",".","",".","100.0",".","",".","",".",".",".","."
"Professionals","13","",".",".",".",".",".","",".",".","",".","",".","100.0",".","",".","",".",".",".","."
"Dept. Total","859","3.569","11.6","5.4","2.6","0.6","0.6","",".","0.5","",".","",".","76.5","2.2","",".","",".",".",".","."
