"ALS","","","","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY
132","Dept. Total","260","3.640","52.7","18.1","10.8","1.9","2.3","",".","",".","8.1","",".",".","",".","5.4","0.4","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.324","23.5","41.2","17.6","11.8","5.9","",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","32","3.373","40.6","28.1","18.8","6.3","6.3","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","63","3.755","68.3","19.0","7.9","1.6","1.6","",".","",".",".","",".",".","",".",".","1.6",".",".","."
"Senior","","77","3.749","70.1","14.3","13.0",".","1.3","",".","",".",".","",".",".","",".",".",".","1.3",".","."
"Undergraduates","","189","3.634","60.3","20.6","12.7","2.6","2.6","",".","",".",".","",".",".","",".",".","0.5","0.5",".","."
"Special","","9","3.295","33.3","11.1","22.2",".","11.1","",".","",".","22.2","",".",".","",".",".",".",".",".","."
"Graduate","","62","3.817","32.3","11.3","3.2",".",".","",".","",".","30.6","",".",".","",".","22.6",".",".",".","."
"","Dept. Total","260","3.640","52.7","18.1","10.8","1.9","2.3","",".","",".","8.1","",".",".","",".","5.4","0.4","0.4",".","."
