"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","226
002","17","3.294","17.6","35.3","41.2",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","226
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
004","21","3.595","52.4","28.6","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","226
005","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
006","20","3.775","90.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","226
007","19","3.694","52.6","26.3","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","226
008","20","3.625","40.0","50.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","226
009","19","3.605","31.6","57.9","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
010","21","3.595","42.9","33.3","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
011","20","3.700","60.0","30.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","226
012","20","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
013","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
014","19","3.684","57.9","26.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
015","19","3.500","57.9","21.1","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","226
016","20","3.600","55.0","10.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
017","18","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
018","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
019","19","3.684","57.9","21.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
020","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
021","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","401","3.688","57.1","28.4","12.0","1.0","0.7",".","0.5","0.2",".",".",".",".",".",".",".","."
"","311
002","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
003","19","3.500","36.8","31.6","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","311
004","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
005","11","3.091","18.2","18.2","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","311
007","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
008","13","3.538","46.2","15.4","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
009","20","3.921","80.0","15.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"","311
010","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","138","3.690","59.4","21.7","15.2","2.2","0.7",".",".",".",".",".",".",".",".","0.7",".","."
"","319
001","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
002","13","3.500","38.5","38.5","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","319
003","13","3.731","76.9","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","Course Total","42","3.714","66.7","19.0","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","320
001","23","3.478","43.5","13.0","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","22","3.591","59.1","13.6","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","320
003","22","3.682","63.6","13.6","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","67","3.582","55.2","13.4","25.4","4.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"Structure of Modern Spanish","321
001","23","3.109","21.7","21.7","26.1","17.4","13.0",".",".",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","322
001","9","3.389","33.3","44.4",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","324
001","19","3.632","42.1","42.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","Course Total","43","3.756","60.5","30.2","9.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","20","3.725","60.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
003","24","3.833","79.2","8.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","Page 333 of 438",""
