"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"OCC THER","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","5","***","","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","5","***","","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Senior","","11","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","24","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Special","","1","***","","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","298","3.895","68.8","12.8","1.7","",".","",".","",".","",".","",".","",".","14.4","",".","2.0","0.3",".",".","."
"","Dept. Total","323","3.900","71.2","11.8","1.5","",".","",".","",".","",".","",".","",".","13.3","",".","1.9","0.3",".",".","."
