"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","237","3.072","37.6","5.5","32.5","2.1","12.7","9.7",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620","001","75","3.240","25.3","18.7","38.7","13.3","4.0",".",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640","001","57","3.298","28.1","26.3","35.1","5.3","1.8","3.5",".",".",".",".",".",".",".",".",".","."
"Commercial Insurance","645","001","36","3.292","30.6","16.7","38.9","8.3","5.6",".",".",".",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650","001","35","3.514","28.6","48.6","20.0","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Financing Techniques","655","001","48","3.240","27.1","25.0","20.8","22.9","4.2",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700","001","23","3.273","26.1","26.1","21.7","17.4","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","068","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","999","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","","Course Total","2","***","","","","","","","","","","","","","","","",""
