"Summary by Level","#","Ave","A","AB","B","BC","","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PATH","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","12","2.917","16.7","33.3","16.7","",".","25.0","8.3","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","14","3.423","71.4","7.1",".","",".","14.3","7.1","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","19","3.594","63.2","5.3","15.8","",".",".","5.3","",".","5.3","",".",".","",".",".","",".",".","5.3","."
"Undergraduates","46","3.345","52.2","15.2","10.9","",".","10.9","6.5","",".","2.2","",".",".","",".",".","",".",".","2.2","."
"Special","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","147","3.591","34.0","6.8","2.7","",".",".",".","",".","24.5","",".","27.9","",".","2.0","",".",".","2.0","."
"Prof Yr 2","16","3.750","6.3","6.3",".","",".",".",".","",".","18.8","",".","68.8","",".",".","",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 4","35","3.976","85.7","5.7",".","",".",".",".","",".","2.9","",".","2.9","",".","2.9","",".",".",".","."
"Professionals","52","3.962","61.5","5.8",".","",".",".",".","",".","7.7","",".","23.1","",".","1.9","",".",".",".","."
