"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"940","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","007","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","008","","17","3.967","82.4","5.9",".",".",".",".",".","5.9",".",".",".",".","5.9",".",".","."
"Topics Seminar-Educ Leadership","Course Total","","69","3.992","94.2","1.4",".",".",".",".",".","1.4",".",".",".",".","2.9",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","72","",".",".",".",".",".",".",".","80.6",".",".",".","19.4",".",".",".","."
"999","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","203","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","22","3.932","72.7",".","4.5",".",".",".",".","9.1",".",".",".",".","4.5","9.1",".","."
