"ENVIR ST - GAYLORD NELSON I Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"560
Hlth Impact of Global Envr Chg","001","","25","3.800","68.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"600","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","003","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","004","","28","3.464","39.3","35.7","17.9",".","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"Envir Studies Major Capstone","Course Total","","51","3.657","58.8","25.5","11.8",".","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","10","3.450","60.0","10.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.967","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"717
Water Res Mgt Pract Plan Smr I","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"809
Intro-Energy Analysis & Policy","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"865
Water Resrce Inst&Policies","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","003","","11","3.591","81.8","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"900","004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","44","3.729","84.1","2.3","4.5",".","2.3",".","2.3","4.5",".",".",".",".",".",".",".","."
"901
Graduate Orientation Seminar","001","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"911
Limnology & Marine Sci Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"925
Seminar-Climatology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931
Rem Sens for Intl Development","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
Envr Monitoring Seminar","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"953
Intr. to WI Ecol.: Grad Sem","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"972
Conservation Planning","001","","24","3.771","62.5","29.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"976
Conservtn Biol&Sustainable Dev","001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"977
Sustainable Development","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 165 of 438",""
