"ENVIR ST - GAYLORD NELSON I Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Agroecology of Food and Ag","103","002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","47","3.181","27.7","14.9","38.3","12.8","2.1","4.3",".",".",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112","001","237","3.609","43.9","45.6","5.1","1.7","1.7",".","1.3","0.4",".",".",".",".",".",".",".","0.4"
"Intro Earth System","120","001","113","3.284","24.8","27.4","31.9","8.8","4.4","0.9",".",".",".",".",".",".","0.9",".",".","0.9"
"Physical Systems of Envr","127","001","26","3.096","15.4","26.9","38.5","15.4",".",".","3.8",".",".",".",".",".",".",".",".","."
"Intro People-Environment Geog","139","001","109","3.294","26.6","23.9","40.4","3.7","3.7","1.8",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","23","3.717","65.2","13.0","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199","054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","29","3.862","79.3","13.8","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","76","2.931","18.4","11.8","35.5","6.6","17.1","5.3",".","1.3",".",".",".",".",".","2.6",".","1.3"
"Environment: Religion & Ethics","270","001","45","3.900","82.2","15.6","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"IndigenousPeoples&Environment","306","001","38","3.541","44.7","23.7","23.7","2.6","2.6",".",".",".",".",".",".",".",".",".","2.6","."
"Limnology-Aquatic Resources","315","001","42","2.902","31.0","9.5","11.9","9.5","31.0","4.8",".",".",".",".",".",".","2.4",".",".","."
"Climatic Environments-Past","335","001","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","29","3.318","13.8","34.5","13.8","13.8",".",".",".","17.2",".",".",".",".","6.9",".",".","."
"Environmental Conservation","339","001","54","3.509","42.6","29.6","18.5","5.6","3.7",".",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","10","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Climate Change Governance","349","001","60","3.333","33.3","36.7","13.3","10.0","1.7","3.3","1.7",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","67","3.403","43.3","20.9","22.4","6.0","6.0",".","1.5",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","32","2.984","3.1","25.0","46.9","15.6","9.4",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","9","3.375","22.2","44.4","11.1",".","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"Intro to Geog Info Systems","377","001","19","3.342","47.4","21.1","15.8","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","400","001","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","","Course Total","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","001","18","3.722","72.2","5.6","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","20","3.763","55.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","5.0"
"Topics: Env Perspctve-Phys Sci","","Course Total","38","3.753","63.2","21.1","10.5","2.6",".",".",".",".",".",".",".",".",".",".",".","2.6"
"","402","003","16","3.656","68.8","18.8","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","402","004","19","3.895","94.7",".",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","402","005","18","3.889","88.9","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","53","3.848","84.9","7.5","1.9","1.9","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","20","3.375","20.0","45.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"US Envir Policy & Regulation","439","001","31","3.306","41.9","22.6","12.9","12.9","6.5",".","3.2",".",".",".",".",".",".",".",".","."
"Making the American Landscape","469","001","89","3.594","44.9","30.3","14.6","4.5","1.1",".",".","3.4",".",".",".",".",".","1.1",".","."
"Air Pollution&Human Health","502","001","101","3.606","48.5","24.8","21.8","3.0",".",".",".",".",".",".",".",".",".","2.0",".","."
"Philos Prblms-Biol Sciences","523","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dev and Env in Southeast Asia","557","001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
