"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"E ASIAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"First Semester Chinese","101","001","53","3.618","62.3","18.9","7.5","1.9",".","5.7",".","1.9",".",".",".",".",".",".","1.9","."
"","103","001","47","3.755","76.6","10.6","6.4","4.3",".","2.1",".",".",".",".",".",".",".",".",".","."
"","103","002","46","3.750","76.1","8.7","6.5",".","2.2",".","2.2",".",".",".",".",".","4.3",".",".","."
"First Semester Japanese","","Course Total","93","3.753","76.3","9.7","6.5","2.2","1.1","1.1","1.1",".",".",".",".",".","2.2",".",".","."
"Elementary Korean","105","001","75","3.644","60.0","21.3","8.0","5.3","1.3",".","1.3","1.3",".",".",".",".",".",".","1.3","."
"Elementary Chinese","122","002","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","124","001","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","124","002","21","3.762","71.4","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","45","3.867","82.2","11.1","4.4","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Chinese","201","001","36","3.886","75.0","22.2",".",".",".",".",".",".",".",".",".",".",".",".","2.8","."
"Third Semester Japanese","203","001","38","3.681","44.7","42.1","5.3","2.6",".",".",".","2.6",".",".",".",".",".","2.6",".","."
"Asian Religions","267","001","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","13","3.704","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Humanities Topics in EAS","300","001","23","3.727","60.9","21.7","8.7","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"Fifth Semester Chinese","301","001","43","3.558","55.8","23.3","11.6","4.7",".","4.7",".",".",".",".",".",".",".",".",".","."
"5th Semester Japanese","303","001","22","3.727","50.0","45.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Chinese","311","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","319","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","319","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Japanese","","Course Total","3","***","","","","","","","","","","","","","","","",""
"1st Yr Classical Chinese","321","001","18","3.667","50.0","38.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Korean","325","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Japanese","327","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Chinese Conversation","333","001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Japanese Conversatn","335","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","341","001","20","3.800","75.0","20.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Korean","345","001","25","3.652","60.0","20.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Korean","347","001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Chinese Literature","351","002","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Japanese Literature","353","001","12","3.182","16.7","33.3","16.7","16.7","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"Topics-Chinese Literature","371","001","207","3.957","96.6","1.4","0.5","0.5","0.5","0.5",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese I","374","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Manga","376","001","13","3.038","23.1","38.5","7.7","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Seventh Semester Chinese","401","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Japanese","403","001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Korean","405","001","14","3.750","78.6",".","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chinese Ling","432","001","22","3.591","59.1","27.3","9.1",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Rdgs-Modern Japanese Lit","563","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Classical Japanese Lit","573","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 213 of 438",""
