"EDU","","","","","","","","","","","","","","","","","","",""
"ANATOMY & PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Physiology","335
001","460","2.856","24.8","12.8","24.1","12.0","16.1","6.5","3.5","0.2",".",".",".",".",".",".",".","."
"","337
001","188","3.032","28.7","17.0","19.7","14.9","11.7","7.4",".","0.5",".",".",".",".",".",".",".","."
"","337
002","188","2.938","28.2","14.9","20.2","14.4","10.6","8.0","2.7","1.1",".",".",".",".",".",".",".","."
"Human Anatomy","Course Total","376","2.985","28.5","16.0","19.9","14.6","11.2","7.7","1.3","0.8",".",".",".",".",".",".",".","."
"","338
001","24","3.063","33.3","20.8","12.5","8.3","20.8",".","4.2",".",".",".",".",".",".",".",".","."
"","338
002","20","3.500","55.0","15.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","338
003","24","3.229","25.0","20.8","33.3","16.7","4.2",".",".",".",".",".",".",".",".",".",".","."
"","338
004","18","2.917","22.2","5.6","27.8","22.2","22.2",".",".",".",".",".",".",".",".",".",".","."
"","338
005","23","3.326","39.1","17.4","21.7","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"","338
006","25","3.300","36.0","16.0","24.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","338
007","25","2.940","16.0","32.0","16.0","12.0","16.0","8.0",".",".",".",".",".",".",".",".",".","."
"","338
008","22","3.159","40.9","9.1","18.2","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"Human Anatomy Laboratory","Course Total","181","3.180","33.1","17.7","20.4","14.9","11.6","1.7","0.6",".",".",".",".",".",".",".",".","."
"ANAT&PHY
146","Dept. Total","1017","2.925","27.6","14.8","21.9","13.5","13.5","6.1","2.2","0.4",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Sophomore","","143","2.477","14.7","11.2","17.5","21.0","17.5","14.0","4.2",".",".",".",".",".",".",".",".","."
"Junior","","256","2.823","21.9","13.3","23.0","13.7","19.5","6.3","2.3",".",".",".",".",".",".",".",".","."
"Senior","","522","3.095","35.1","16.7","22.2","11.1","8.8","4.4","1.7",".",".",".",".",".",".",".",".","."
"Undergraduates","","921","2.925","28.2","14.9","21.7","13.4","13.1","6.4","2.3",".",".",".",".",".",".",".",".","."
"Special","","25","3.285","32.0","16.0","28.0","4.0","12.0",".",".","8.0",".",".",".",".",".",".",".","."
"Graduate","","7","3.533","28.6","14.3","14.3","14.3",".",".",".","28.6",".",".",".",".",".",".",".","."
"Prof Yr 1","","64","2.805","17.2","14.1","23.4","18.8","20.3","4.7","1.6",".",".",".",".",".",".",".",".","."
"Professionals","","64","2.805","17.2","14.1","23.4","18.8","20.3","4.7","1.6",".",".",".",".",".",".",".",".","."
"","Dept. Total","1017","2.925","27.6","14.8","21.9","13.5","13.5","6.1","2.2","0.4",".",".",".",".",".",".",".","."
